StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q98,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q867,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1846,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1847,Q1787,Q1788,Q1789_1,Q1789_2,Q1789_3,Q1789_4,Q1789_5,Q1789_6,Q1790,Q1791,Q1792,Q1793,Q1848,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q1849,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q69,Q67,Q64,Q69 2,Q73,type,task,Enter Embedded Data Field Name Here...
7/17/17 8:26,7/17/17 8:30,0,24.72.184.89,100,243,1,7/17/17 8:30,R_11j6lpW2bSyUbSz,,,,,27.46150208,-97.84369659,anonymous,EN,A28T38MOUG43YD,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An algorithm is a set of steps and computations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,The guidelines are clear for how he will be evaluated,4,4,5,1,4,5,he could either feel proud that he was evaluted well or frustrated,5,At the same time i imagine the manager can recognize that the situation requires discretion ,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,2,3,3,2,4,
7/17/17 8:26,7/17/17 8:30,0,68.53.243.103,100,232,1,7/17/17 8:30,R_2zSBqPlNZsHOdVD,,,,,34.93640137,-85.31009674,anonymous,EN,A1HWTTN3JEUNZY,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Chris has to be monitored so that he knows that the company knows that he's doing a good job.,4,4,4,4,4,4,I don't know Chris and how good he is with customer service.,4,They have shown at least minimal competence to have that job.,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,1,5,1,5,4,
7/17/17 8:26,7/17/17 8:30,0,76.99.234.226,100,211,1,7/17/17 8:30,R_s5bcuQat52osaVX,,,,,40.12869263,-75.05970001,anonymous,EN,A1C59M3HPCO503,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a process designed to be followed as a rule,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"It's what is probably most efficient, why wouldn't it be fair?",4,4,4,2,2,2,I don't see how he would have strong feelings one way or the other,6,I have no reason to trust it less otherwise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,1,3,1,3,2,
7/17/17 8:26,7/17/17 8:30,0,73.230.218.46,100,258,1,7/17/17 8:30,R_3PgJ7imwUSEdqKg,,,,,40.25579834,-76.8585968,anonymous,EN,A3QL8ZAD9BKWUF,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithms follow a set rule and goes with it,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,I mean it's just fair. He just got unlucky but it is what it is.,2,2,2,6,2,6,He'd probably be a little angry but it is what it is.,7,It's an algorithm it chooses what it chooses.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,2,3,1,3,1,
7/17/17 8:26,7/17/17 8:30,0,76.186.72.111,100,263,1,7/17/17 8:30,R_e3uudFHAn6sQfwR,,,,,32.7243042,-97.08049774,anonymous,EN,AIKWZBRRTEW6Z,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer processes that are built to work a certain way and accomplish certain goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Manager has a right to pick applicants however he likes but it may eliminate otherwise good candidates,3,3,4,4,3,5,"Depends if he gets picked due to algorithm or not, cannot accurately guess feelings otherwise",4,Depends on what key phrases manager chose to look for,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,1,5,1,3,3,
7/17/17 8:27,7/17/17 8:31,0,68.97.208.196,100,187,1,7/17/17 8:31,R_3oWI6he2JmkANu2,,,,,35.57519531,-97.6384964,anonymous,EN,A1UHORPD00FD7V,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,CHris should have a manager to make sure he is doing the right thing at work.,4,1,1,2,2,2,I don't think Chris would necessarily be happy but he has to accept he has a manager at work. ,5,"I think it partly depends on whether he likes Chris or not, but I hope he would be fair. ",1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,1,5,1,5,4,
7/17/17 8:26,7/17/17 8:31,0,73.31.183.136,100,300,1,7/17/17 8:31,R_3s7yPzATvM2JkSk,,,,,38.65899658,-78.45149994,anonymous,EN, A2L8PCBXZ1Y9W8,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,7,he is looking for the best candidates so he should be picking the top ones,5,5,5,1,2,5,I am sure he would be worried that he would not be picked but proud if he was,7,this is his job and I am sure he is experienced,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,57,1,4,1,5,3,
7/17/17 8:26,7/17/17 8:31,0,104.1.25.78,100,305,1,7/17/17 8:31,R_2zqdkJQp4HgwQ3x,,,,,42.06430054,-87.99210358,anonymous,EN, AASWAMYQ9PXMQ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer programs that compute things based on facts given.,,,,,,,,,,,,,,6,It seems like it would be fair because the computer is doing the same thing the manager would do.,6,4,4,2,2,2,"If the shcedule is based on employees availablility, I do not see a reason for Chris to be unhappy.",5,I do not know anything about the manager.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44,1,4,1,2,2,
7/17/17 8:27,7/17/17 8:31,0,184.89.125.231,100,215,1,7/17/17 8:31,R_3mHn6rSbuwCpApr,,,,,28.01699829,-80.67359924,anonymous,EN,A2I14UHUQIH4L0,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer codes that account for certain variables.,7,All three are doing their assigned job. ,1,1,1,1,1,1,He would just assume the manager is doing his job. I don't think there would be much emotion in that realization. ,6,I think he is probably well trained in his position and the computer algorithm has probably proved accurate as well. ,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,1,5,1,2,1,
7/17/17 8:26,7/17/17 8:31,0,70.185.107.94,100,296,1,7/17/17 8:31,R_RDHQZOT72i0tA3L,,,,,29.6381073,-82.41410065,anonymous,EN,AELOYBHVZFDW9,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer programs using data to make an analysis,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Chris is not being penalized or favored,4,3,2,4,5,5,I don't believe he would care much one way or the other,5,A combination of computer and human gives a good result,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,2,5,1,4,1,
7/17/17 8:26,7/17/17 8:31,0,67.172.25.35,100,298,1,7/17/17 8:31,R_3RgwUOF24gwbAmC,,,,,41.46710205,-79.66729736,anonymous,EN,AVZWILVYCMUQF,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer generated logical assesments of metrics and historical data along with real time dynamic changes,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,It is a great way to come up with the data on what may need maintinence so it is very fair due to it is very acurate and chriss will be able to fix what needs to be fixed to keep it running,6,5,5,1,1,1,he likes his job and his manager along with the computer algorithm helps him in his job,7,it is acuarte data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,62,2,5,1,4,1,
7/17/17 8:28,7/17/17 8:31,0,98.169.138.47,100,196,1,7/17/17 8:31,R_YXFS7TmHYHP2TWF,,,,,38.90390015,-77.29530334,anonymous,EN,A1UM1PRML2NIZK,"1,2",3,6,6,Someone has to be in charge and assign tasks,6,5,6,3,3,4,He'd be proud because of the position,5,I've had good experiences in the past with managers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,2,8,1,5,1,
7/17/17 8:26,7/17/17 8:31,0,173.17.72.108,100,342,1,7/17/17 8:31,R_ULvL8G4kEUeY1Gx,,,,,37.21899414,-93.31759644,anonymous,EN,A3FQDPUAXJB0BS,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are computer generated selecting and monitoring processes.,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"The algorithm displays the results in a readable manner, and the manager is likely looking out for the most qualified candidates. Therefore if Chris is qualified, the manager should choose him.",5,5,2,3,3,3,Chris shouldn't be angry as the selection process was fair and unbiased.,5,The manager is likely looking for the most qualified individuals.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,2,3,1,2,3,
