StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q98,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q867,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q978,Q979,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q69,Q67,Q64,Q69 2,Q73,type,task
7/7/17 9:57,7/7/17 10:01,0,68.80.201.209,100,255,1,7/7/17 10:01,R_DpYJZpmH3ketDgt,,,,,39.93890381,-75.18470001,anonymous,EN,A3RDH0U2H6JCBC,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steps with which to solve a problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,I don't see how it couldn't be fair,4,4,4,4,4,4,"It's just his job, he would be assigned one anyways, I don't see how he would feel any different",7,Algorithms tend to function efficiently if created properly,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,1,5,1,4,1
7/7/17 9:49,7/7/17 9:56,0,204.77.52.225,100,368,1,7/7/17 9:56,R_aaatGOa0AnYvVTP,,,,,44.95550537,-93.16699982,anonymous,EN,ANV4TUKMWLA8E,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A sophisticated computer program that can predict outcomes fairly accurately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"It seems that as long as the algorithm is applied consistently, it should be fair, although a computer can't take into account all the relevant factors - it could be flawed.",4,2,4,3,3,5,"I would assume he would be ok with the system, although he might feel more comfortable with a more personalized system.",4,"I find it hard to believe that a computer could make the right judgement call in all situations - it might create a good baseline, but it could also be flawed.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,1,5,1,3,4
7/7/17 9:37,7/7/17 9:45,0,66.227.142.3,100,463,1,7/7/17 9:45,R_1nO7zCK4keZSrJx,,,,,43.60710144,-83.77819824,anonymous,EN,AC8IEBY696VJO,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are mathematical equations that predict what will happen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,An algorithm is unable to account for all the nuances involved in an interaction,1,1,1,1,5,7,"It is frustrating to be thought of as a corporate robot, and have expectations that you stay on script.",1,I don't believe an algorithm can correctly equate human emotion.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,1,4,1,3,4
7/7/17 9:35,7/7/17 9:40,0,108.61.39.122,100,273,1,7/7/17 9:40,R_syPxVmAUDA9an1T,,,,,40.4651947,-74.23069763,anonymous,EN,A1P08M8GNREVEK,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are patterns of data that organize and monitor different actions done through a network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Algorithms are generally quite accurate, and any mistakes that the algorithm might make can be corrected by the manager.",3,4,2,4,4,5,"I think Chris might feel a little apprehensive about being judged by a machine, but as long as it's functioning properly, everything should work out.",6,Algorithms - when programmed correctly - are highly accurate!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,1,5,1,3,4
7/7/17 10:06,7/7/17 10:10,0,70.140.52.244,100,246,1,7/7/17 10:10,R_32WoUzWDlo7nUSS,,,,,30.20350647,-95.66329956,anonymous,EN,A2ZV96GRXVSXK4,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code to  weed out certain items .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,5,It seems fair to me . I dont really know how to explain,4,4,4,3,3,3,HE applied but that doesnt mean he is gonna get the job,4, algorithm was designed to help weed out the not qualified .,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,2,1,3,3
7/7/17 9:35,7/7/17 9:54,0,75.133.172.207,100,1117,1,7/7/17 9:54,R_1jN6cYiOZkCzN1I,,,,,38.74609375,-90.34600067,anonymous,EN,AU2RMH9IZP60M,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A rule set for the way a computer acts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,7,"Companies save a lot of time and money by allowing an algorithm sort through top applicants.  If a person manually had to sort through thousands of applications, it would take forever and with the algorithm, you can program exactly what you're looking for in a candidate.",4,4,1,5,5,6,"Chris may feel a bit frustrated, angry and disappointed to know that there's a chance his application won't thoroughly get looked at.",7,The algorithm is  programmed to specific standards.  I'm certain the ground work has been properly laid out for who is eligible and who isn't.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,4,2,3,3
7/7/17 9:35,7/7/17 9:41,0,142.0.193.221,100,346,1,7/7/17 9:41,R_2eXZARWGmPbNycb,,,,,32.78250122,-96.8207016,anonymous,EN,AZZA3J049G7R5,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are computer calculations based on some inputs made by humans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,6,"Without other schedules known or other factors contributing why Chris is scheduled in the morning, one will assume that it is fair.",5,5,5,1,1,1,"Again, without other knowledge of other factors, Chris should be feeling okay with the schedule he has as it is his job.",5,"There are no indication that the algorithm fails, so I trust it.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,1,3,4,3,2
7/7/17 10:16,7/7/17 10:21,0,71.95.54.149,100,314,1,7/7/17 10:21,R_21dkf17sA4Nq46Z,,,,,33.92979431,-117.3647003,anonymous,EN,A3FT9XM7FC0ANP,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathematical equations that give a certain result given a set a parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,6,"the machine sets up the schedule, but the manage overlooks it so he knows who is working and when",4,4,4,4,4,2,i dont think he should be upset or any emotions towards it because the manager overlooks the whole process,4,An algorithm is not perfect so I think it is good to start the schedule but it needs to be overlooked,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,1,5,3,3,2
7/7/17 9:36,7/7/17 9:42,0,75.131.99.149,100,377,1,7/7/17 9:42,R_1j7AWgcZPesFOii,,,,,43.41610718,-83.97090149,anonymous,EN,A1BLAWP38JPWDD,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A MATH PROBLEM THE COMPUTER DOES FOR YOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,6,DOESNT UNDER SCHEDULE BUT SHOULD HAVE ADEQUITE STAFF,6,5,5,3,2,1,HE LIKES THE COMPUTER DOING THE WORK FOR HIM,5,"ITS NEVER ACCURATE, THINGS COULD BE GOING ON WITH HIGHER TRAFFIC VOLUMES",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,1,3,1,3,2
7/7/17 9:40,7/7/17 9:44,0,143.207.14.96,100,220,1,7/7/17 9:44,R_2woc9e7tyoP8t1W,,,,,41.94639587,-86.33889771,anonymous,EN,A2AMQX0BQZXG9N,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A computer program, using math.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,Why shouldn't an algorithm assign the task?,1,1,1,1,1,1,It's a pretty neutral thing to do.   I think Chris feels pretty damn neutral about everything.,6,Why not trust?  Has the algorithm shown itself to be untrustworthy?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,1,5,1,3,1
7/7/17 9:35,7/7/17 9:39,0,99.56.221.155,100,243,1,7/7/17 9:39,R_1j86pIYoEGum27F,,,,,26.27200317,-80.25800323,anonymous,EN,AFZKP8TAXAUCR,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program that can make work easier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,The algorithm was made so that it can know for sure which parts are in need of maintenance,4,4,4,2,2,2,I don't see how Chris would be upset with this,6,"If it didn't make good decisions, then it wouldn't be used.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,2,5,1,3,1
7/7/17 9:36,7/7/17 9:41,0,136.61.93.207,100,277,1,7/7/17 9:41,R_8e1m9OC4zRMgzcZ,,,,,39.10580444,-94.59329987,anonymous,EN,A3PC7DYXJW4I2Z,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They compute what happens.,,,,,,,,,,,,,,,,,,,,,,,,,5,It is fair because it takes into account the actual work.,3,5,5,5,4,4,I feel like Chris will be aware of his performance.,4,The manager seems trustworthy and knows what he wants.,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,2,5,1,2,4
7/7/17 9:35,7/7/17 9:44,0,76.124.126.149,100,538,1,7/7/17 9:44,R_3G8MNumLUQC7dG1,,,,,40.15449524,-75.38089752,anonymous,EN,AHUKCHMKUJHQQ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathmatical computations of specific paramaters.,,,,,,,,,,,,,,,,,,,,,,,,,1,algorithms do not take into consideration unexpected circumstances.  What if Chris was sick that day and it changed the tone of his voice?,1,1,1,7,7,7,He would feel like he had been ignored as a human being and teated as if he was just a machine.,1,You can not use a machine to measure the human element.,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,1,3,1,2,4
