emotion,ID,task,decision maker,mc,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
,R_Zkp6QCtMM0lMaGJ,2,1,1,0.0,0.0,7,"It may be that he has mornings available so that's why the algorithm scheduled him that way, plus in jobs you sometimes don't get to pick when you work",4,4,4,4,4,4,"I don't know how he feels, I don't know anything about him, he may love the morning and want to work early so he can get off early",7,I have no reason to distrust it,1,29,1,2,2,computer programs
,R_2pW7VMsFFCr26CF,3,1,1,0.0,0.0,7,i think it was fair that chris was chosen.,7,4,6,1,1,1,i think he should feel excited for the new position.,5,i dont' know the criteria that is being used to filter out candidates on their system.,3,27,2,6,2,algorithms are systems in place that are derived from math in order to accomplish a specific goals.
,R_2U4yNk7CTO6hB6g,1,2,2,0.0,0.0,4,it is just a job,4,5,6,3,1,3,"probably just normal feelings, no big deal",4,probably lots of punneeded part replacement,1,35,2,2,1,they play numbers games like at the casino
,R_1kSPGyaiYrWg55b,2,2,2,0.0,0.0,5,Chris must be available to work mornings and since it is an active time they scheduled him than,4,4,5,2,1,2,Chris must have let them know when he can work so he should not be angry at this scheduling. Of course no one is joyful working mornings either!,5,You would know when your employees can work and you would know when the shifts are the busiest and how many people you need to handle the crowd. I would trust this algorithmic analysis,2,53,1,4,1,Algorithms are a set of data that is compiled and cross referenced using a computer to analyze data.
,R_zeXWtTRefU5pXgZ,1,1,1,0.0,0.0,6,I think it's fair to have Chris do maintenance on the more heavily used and more often broken components of machinery which would be the result of the algorithm.,4,4,2,2,2,2,"He didn't have an opportunity to achieve anything that would make him feel positive emotions, but I don't think he would feel negatively either.",5,I think the algorithm is a good idea to ensure routine maintenance on things but some parts may break regardless so I need more information on what happens during those times. ,1,28,1,3,1,Math problems that predict a pattern.
,R_2Tz04rxDAHsFW7t,1,5,5,0.0,0.0,7,It is the Managers job to assign duties,4,4,4,1,1,1,He would have no particular feelings. He is just doing his job,6,He wouldnt keep his manager job if he could not be trusted,2,51,2,3,1,0
,R_1DNoqqMxJzQyyHM,4,4,4,0.0,0.0,5,"So long as both a human and a computer analyzes it, I don't feel like there is any unfair bias going on.",4,4,4,2,2,4,He wouldn't feel angry or feel like he is being targeted but probably wouldn't be happy and excited either.,4,"If the algorithm is designed in a way that makes it effective, it should provide good feedback on call quality.",3,29,2,3,1,designed instructions for computers that return results based on the inputs given.
,R_28ZkQCfTU1EyPQr,4,5,5,0.0,0.0,7,Because he is in a service industry and needs to be evaluated by his manager so that he can an honest review of his work.,5,5,6,4,2,4,"I just assumed he got a decent review but felt he could do better.  Without seeing a review, it's impossible to know how he'd feel about it.",6,Because the manager is actively taking an interest in there work performance.,2,30,1,5,1,0
,R_232g33wzcD8WL3u,2,1,1,0.0,0.0,6,"It doesn't seem like it's that much of an imposition for Chris, if it split his shift up throughout the day it would be less fair",6,4,4,2,2,2,I think he'll be happy to have a consistent schedule,6,An algorithm can account for different needs of the store and schedule employees appropriately,2,31,2,3,1,A decision making process
,R_3EmaA8b8sorDfGR,4,2,2,0.0,0.0,3,"I do not trust an algorithm or ""AI"" to evaluate human behavior. There are to many subtleties that only a real person is capable of interpreting correctly.",2,2,2,6,5,6,I think Chris would feel he deserves to be evaluated by a person and not a machine. Being evaluated by a machine could make him feel devalued and that he is not worth taking the time to evaluate him properly.,2,"Again, I do not feel that an algorithm can make an accurate evaluation of a human being. It takes another person to pick up on all the subtleties that are involved in human interaction.",2,58,2,2,1,"They are a form of ""AI"" or artificial intelligence where a computer program is written to make judgments based on a set of rules."
,R_3QWSYJ5qh8o7POh,2,3,3,0.0,0.0,5,Manager knows better.,5,5,5,2,2,2,I think he should be happy.,5,They did lot of trials.,3,28,2,5,4,calculations
,R_3qP6xBdKo77Pv0l,1,4,3,1.0,0.0,6,because it something that needs attention,4,4,4,1,1,1,If its his job there shouldnt be any negative emotion ,5,with a algorithm there is a possibility that it could be wrong,2,41,2,3,1,its a set of rules a program follows to help with problem solving etc. 
,R_215JL2R0f5HJVij,3,2,2,0.0,0.0,5,Basing the initial selection on an impartial algorithm eliminates any unfairness that may creep in if a person was going through the job applicants first. ,4,4,2,4,4,4,"Unless I missed something (and I reread it twice), there's no indication of whether Chris was selected as being among the top applicants, so he has no reason to feel much at all about how the process worked. That said, I don't think he'd feel proud because why would he at this point? I think the best word for his feelings might be 'hopeful.'",5,"If the process is already designed such that an algorithm does this initial sorting, I would imagine the steps that follow would have some measure of standardization as well. I think the manager will trust the sorting and if the algorithm is based on their needs and experiences in the past with applicants, the decisions made should be of fairly high quality.",2,40,2,5,1,A set of rules or steps for going from point A to point B in terms of problem-solving or decision-making. 
,R_2dmzhFlxa0oaVhC,1,3,3,0.0,0.0,6,"I think it's fair because the algorithm analyzes the importance of each component, and overall, it just seems to be a fair way to do things because the algorithm knows best and I don't think that the manager puts in too much bias since he's just monitoring it.",5,5,5,2,2,2,"I think that overall Chris just feels neutral about it because that's his job. That's what he's assigned to do. As long as he gets his paycheck, I don't think that the algorithm bothers him.",6,I think that this algorithm is trustworthy because it's a machine and a mathematical computation. I don't think that it has any bias. I think that it's fair.,1,25,1,5,1,I think algorithms are just math models that take all of the information of the scenario into account and then spits out a result that is unbiased and fair to everyone.
,R_2ah4VpxQgRGJytg,1,3,3,0.0,0.0,7,It isn't a terribly uneven or biased system and it seems pretty logical to go about maintaining the factory in this fashion.,3,3,4,5,2,3,He's probably not a huge fan of doing the maintenance even though it needs to be done and perhaps he is annoyed at the level of abstraction between his boss giving him work directly via the algorithm.,5,"Based on what I currently know about it, it seems to operate on a rather straightforward logical basis and I don't have any real reason to doubt it. ",1,26,2,3,1,It seemed to be some sort of program that looked at numerous variables and used those as part of a predictive model.
,R_3rTbFP6ueLg8Rhu,2,2,2,0.0,0.0,7,You need workers to be there to make sure you can serve the customers.  Using the algorithm makes sure that there are enough employees there at any time of the day.  Chris is available so he got the hours.  Nothing unfair about that.,6,5,4,2,2,2,I am guessing that Chris wants to work so he got some hours to work.  I don't see why he would be angry about working.  He is happy he has hours.,6,It lets the manager know when customers will be there and when employees are needed.  That way the company works efficently and no customers are kept waiting hopefully.,1,41,2,3,1,"Just a program that takes data, goes over the data, and then gives you an analysis of the data it has processed."
,R_2S0TADsPjvoZ0vU,4,4,3,1.0,0.0,1,"An algorithim is based off computer interpretation, the fact Chris works in a customer service center, his performance is subjective and what a computer marks as negative could be misinterpreted as there is no human leeway ",1,1,1,7,4,7,Chris would feel that he is at a major disadvantage because his performance based is not subjective and what the computer says is the final say and it could be way wrong as the human interaction can go in many different ways and interpreted differently,3,"The computer could be right, but I give the human component a higher preference as they are able to see things the computer wont",3,35,2,5,2,Algorithims are based on pre determined results and the computer checks to see if the given action results in the given results it is asked to check for
,R_1ff5VksWImvbWX3,2,5,5,0.0,0.0,7,Chris must fit the needs of the morning crowd so this is fair,4,5,6,4,2,3,I do not know Chris but he should be happy his manager wants him to work this shift,6,I would assume his formula to scheudule people is accurate which means he knows what he is doing.,3,32,2,4,1,0
,R_vIhOSo1JerNkPHb,4,3,2,1.0,0.0,4,"The algorithm is a good tool for monitoring his performance, but ultimately his human superior should make the final assessment.",3,2,3,4,5,5,I think he would be annoyed that his performance was being constantly monitored.,4,"The algorithm would work well, but it might make mistakes, so the results should be more of a guideline rather than the final judgement on his performance.",3,31,2,4,1,A mathematical pattern.
,R_1hG7Tf77XfO4ahJ,3,5,5,0.0,0.0,7,It is fair.,6,6,7,1,1,1,He should feel good about an onsite interview.,6,Onsite interview would help determine a good employee.,2,23,2,5,1,0
,R_BS0jFFqtywfGR7H,2,3,3,0.0,0.0,2,This should be a decision solely made by a person.  It sounds like the manager could make choices and blame the algorithm...or allow it to make choices that he should be making based on his personal knowledge of the employees.,1,1,2,6,6,7,"Again, it's not right to let an algorithm make such determinations.  Without personal knowledge of individuals, it is plain wrong.  Chris would likely be frustrated (at best) about this.",2,It can't make decisions as a human would.  Taking out that element makes it a clinical decision without concern for people's welfare.,2,42,2,3,1,A set of calculations made by a computer to draw conclusions.  It's based on data that is input for it to compute.
,R_332PLjrVWPq38Bq,3,2,2,0.0,0.0,5,Because having an algorithm do it removes a lot of human error.,4,4,4,4,4,5,There are certain things algorithm's can't get right like human emotion. Chris might do exceptionally well in communicating which I don't think an algorithm can pick up on.,4,"I think if an algorithm is used, it would be best not to remove the human element out of it as well. Machines can do a lot of things well, but I don't think it can pick up the nuances of human behavior very well yet. That's where having a face to face with human would be ideal.",1,35,2,5,4,It's a computerized system that categorizes things in a certain way.
,R_1E4ZFubF0TKD4CC,4,1,1,0.0,0.0,3,It seems impossible for a computer to accurately measure the emotion behind someone's voice.,3,3,4,5,2,4,I don't think he would think it was a very fair system.,2,I do not think it would be very accurate.,1,36,1,3,1,Rules or processes to measure and determine things.
,R_xsjiwDOzum98z0R,3,4,2,1.0,0.0,6,"Because the algorithm is applied to all resumes, it is ultimately fair as a process. It may not be the best process, but it is fair.",4,4,3,5,5,5,I think that Chris would approach the situation with some pessimism.,4,"It really depends on the algorithm, not that there is an algorithm. Technically, a manager would probably undertake an algorithm as well for the most part - no degree, no experience, etc - these are just rules that a manager applies, and instead those resumes are being filtered by a ""process"".",4,35,2,4,1,They are just a process or series of steps or rules that are applied to data. They are not exclusive to machines.
,R_3D9VWZwVwqyEps5,1,1,1,0.0,0.0,7,"I think it is fair to have a human to check it, after the computer does the algorithims.",7,6,5,4,2,1,I think Chis is happy to to perform the job.,7,"The computer analyzes everything, so I trust that aspect of it.",1,35,1,3,2,A computer program that analyzes certain sequences of things.
,R_urDRdUH7cmgtwFb,2,1,1,0.0,0.0,5,As good as anything else i guess,4,4,4,4,4,4,I dont know if he wants those hours or not,3,Its probably better than humans if theres some kind of backup eyes on it,2,22,2,3,1,A program thats written to do a certain task
,R_ymSYJXonYhQifx7,1,2,2,0.0,0.0,5,If this kind of technology has worked in the past to prevent operation failures then it would make sense to cotinue to use it.,2,2,4,2,2,2,"He is not actually doing anything to create the algorithum, he is just following what it says.",5,He has history with the analysis in this way,1,35,1,5,2,a bunch of averages made by a computer system.
,R_1jBSWsSA3I3BedB,1,5,5,0.0,0.0,5,He is just doing his job.,4,2,2,2,3,3,He is tired of dealing with it but it is his job.,4,They have been working together for awhile.,2,20,2,4,1,0
,R_w4VsqsRnILGN5ex,3,3,3,0.0,0.0,3,I think it is unfair for a software to determine our future careers. This work shoud be done by a human,2,2,1,6,5,6,I think Chris will feel unappreciated that his resume is being evaluated by a computer software and not a person.,4,"The software will choose based on a set of instruction given and will not consider other factors such as personality, leadesship qualities.",1,31,2,5,2,Algorithms are a set of instructions given to a computer inorder for it to perform certain functions. 
,R_1eV3PiBJiSsKwp0,1,4,3,1.0,0.0,6,"The algorithm is impartial, so it going to treat Chris fairly.",3,3,4,3,2,2,"Chris shouldn't feel happy or sad since it is a result based on information, not someone's opinions or feelings. ",6,The combination of the two seems to cover what is important when it comes to making the task assignments.,3,23,2,3,2,Algorithms are ways that computers get things done. Any complicated process is an algorithm. 
