emotion,ID,task,decision maker,mc,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
,R_Zkp6QCtMM0lMaGJ,2,1,1,0.0,0.0,7,"It may be that he has mornings available so that's why the algorithm scheduled him that way, plus in jobs you sometimes don't get to pick when you work",4,4,4,4,4,4,"I don't know how he feels, I don't know anything about him, he may love the morning and want to work early so he can get off early",7,I have no reason to distrust it,1,29,1,2,2,computer programs
,R_2pW7VMsFFCr26CF,3,1,1,0.0,0.0,7,i think it was fair that chris was chosen.,7,4,6,1,1,1,i think he should feel excited for the new position.,5,i dont' know the criteria that is being used to filter out candidates on their system.,3,27,2,6,2,algorithms are systems in place that are derived from math in order to accomplish a specific goals.
,R_2U4yNk7CTO6hB6g,1,2,2,0.0,0.0,4,it is just a job,4,5,6,3,1,3,"probably just normal feelings, no big deal",4,probably lots of punneeded part replacement,1,35,2,2,1,they play numbers games like at the casino
,R_1kSPGyaiYrWg55b,2,2,2,0.0,0.0,5,Chris must be available to work mornings and since it is an active time they scheduled him than,4,4,5,2,1,2,Chris must have let them know when he can work so he should not be angry at this scheduling. Of course no one is joyful working mornings either!,5,You would know when your employees can work and you would know when the shifts are the busiest and how many people you need to handle the crowd. I would trust this algorithmic analysis,2,53,1,4,1,Algorithms are a set of data that is compiled and cross referenced using a computer to analyze data.
,R_zeXWtTRefU5pXgZ,1,1,1,0.0,0.0,6,I think it's fair to have Chris do maintenance on the more heavily used and more often broken components of machinery which would be the result of the algorithm.,4,4,2,2,2,2,"He didn't have an opportunity to achieve anything that would make him feel positive emotions, but I don't think he would feel negatively either.",5,I think the algorithm is a good idea to ensure routine maintenance on things but some parts may break regardless so I need more information on what happens during those times. ,1,28,1,3,1,Math problems that predict a pattern.
,R_2Tz04rxDAHsFW7t,1,5,5,0.0,0.0,7,It is the Managers job to assign duties,4,4,4,1,1,1,He would have no particular feelings. He is just doing his job,6,He wouldnt keep his manager job if he could not be trusted,2,51,2,3,1,0
,R_1DNoqqMxJzQyyHM,4,4,4,0.0,0.0,5,"So long as both a human and a computer analyzes it, I don't feel like there is any unfair bias going on.",4,4,4,2,2,4,He wouldn't feel angry or feel like he is being targeted but probably wouldn't be happy and excited either.,4,"If the algorithm is designed in a way that makes it effective, it should provide good feedback on call quality.",3,29,2,3,1,designed instructions for computers that return results based on the inputs given.
,R_28ZkQCfTU1EyPQr,4,5,5,0.0,0.0,7,Because he is in a service industry and needs to be evaluated by his manager so that he can an honest review of his work.,5,5,6,4,2,4,"I just assumed he got a decent review but felt he could do better.  Without seeing a review, it's impossible to know how he'd feel about it.",6,Because the manager is actively taking an interest in there work performance.,2,30,1,5,1,0
,R_232g33wzcD8WL3u,2,1,1,0.0,0.0,6,"It doesn't seem like it's that much of an imposition for Chris, if it split his shift up throughout the day it would be less fair",6,4,4,2,2,2,I think he'll be happy to have a consistent schedule,6,An algorithm can account for different needs of the store and schedule employees appropriately,2,31,2,3,1,A decision making process
,R_3EmaA8b8sorDfGR,4,2,2,0.0,0.0,3,"I do not trust an algorithm or ""AI"" to evaluate human behavior. There are to many subtleties that only a real person is capable of interpreting correctly.",2,2,2,6,5,6,I think Chris would feel he deserves to be evaluated by a person and not a machine. Being evaluated by a machine could make him feel devalued and that he is not worth taking the time to evaluate him properly.,2,"Again, I do not feel that an algorithm can make an accurate evaluation of a human being. It takes another person to pick up on all the subtleties that are involved in human interaction.",2,58,2,2,1,"They are a form of ""AI"" or artificial intelligence where a computer program is written to make judgments based on a set of rules."
,R_3QWSYJ5qh8o7POh,2,3,3,0.0,0.0,5,Manager knows better.,5,5,5,2,2,2,I think he should be happy.,5,They did lot of trials.,3,28,2,5,4,calculations
,R_3qP6xBdKo77Pv0l,1,4,3,1.0,0.0,6,because it something that needs attention,4,4,4,1,1,1,If its his job there shouldnt be any negative emotion ,5,with a algorithm there is a possibility that it could be wrong,2,41,2,3,1,its a set of rules a program follows to help with problem solving etc. 
,R_215JL2R0f5HJVij,3,2,2,0.0,0.0,5,Basing the initial selection on an impartial algorithm eliminates any unfairness that may creep in if a person was going through the job applicants first. ,4,4,2,4,4,4,"Unless I missed something (and I reread it twice), there's no indication of whether Chris was selected as being among the top applicants, so he has no reason to feel much at all about how the process worked. That said, I don't think he'd feel proud because why would he at this point? I think the best word for his feelings might be 'hopeful.'",5,"If the process is already designed such that an algorithm does this initial sorting, I would imagine the steps that follow would have some measure of standardization as well. I think the manager will trust the sorting and if the algorithm is based on their needs and experiences in the past with applicants, the decisions made should be of fairly high quality.",2,40,2,5,1,A set of rules or steps for going from point A to point B in terms of problem-solving or decision-making. 
,R_2dmzhFlxa0oaVhC,1,3,3,0.0,0.0,6,"I think it's fair because the algorithm analyzes the importance of each component, and overall, it just seems to be a fair way to do things because the algorithm knows best and I don't think that the manager puts in too much bias since he's just monitoring it.",5,5,5,2,2,2,"I think that overall Chris just feels neutral about it because that's his job. That's what he's assigned to do. As long as he gets his paycheck, I don't think that the algorithm bothers him.",6,I think that this algorithm is trustworthy because it's a machine and a mathematical computation. I don't think that it has any bias. I think that it's fair.,1,25,1,5,1,I think algorithms are just math models that take all of the information of the scenario into account and then spits out a result that is unbiased and fair to everyone.
,R_2ah4VpxQgRGJytg,1,3,3,0.0,0.0,7,It isn't a terribly uneven or biased system and it seems pretty logical to go about maintaining the factory in this fashion.,3,3,4,5,2,3,He's probably not a huge fan of doing the maintenance even though it needs to be done and perhaps he is annoyed at the level of abstraction between his boss giving him work directly via the algorithm.,5,"Based on what I currently know about it, it seems to operate on a rather straightforward logical basis and I don't have any real reason to doubt it. ",1,26,2,3,1,It seemed to be some sort of program that looked at numerous variables and used those as part of a predictive model.
,R_3rTbFP6ueLg8Rhu,2,2,2,0.0,0.0,7,You need workers to be there to make sure you can serve the customers.  Using the algorithm makes sure that there are enough employees there at any time of the day.  Chris is available so he got the hours.  Nothing unfair about that.,6,5,4,2,2,2,I am guessing that Chris wants to work so he got some hours to work.  I don't see why he would be angry about working.  He is happy he has hours.,6,It lets the manager know when customers will be there and when employees are needed.  That way the company works efficently and no customers are kept waiting hopefully.,1,41,2,3,1,"Just a program that takes data, goes over the data, and then gives you an analysis of the data it has processed."
,R_2S0TADsPjvoZ0vU,4,4,3,1.0,0.0,1,"An algorithim is based off computer interpretation, the fact Chris works in a customer service center, his performance is subjective and what a computer marks as negative could be misinterpreted as there is no human leeway ",1,1,1,7,4,7,Chris would feel that he is at a major disadvantage because his performance based is not subjective and what the computer says is the final say and it could be way wrong as the human interaction can go in many different ways and interpreted differently,3,"The computer could be right, but I give the human component a higher preference as they are able to see things the computer wont",3,35,2,5,2,Algorithims are based on pre determined results and the computer checks to see if the given action results in the given results it is asked to check for
,R_1ff5VksWImvbWX3,2,5,5,0.0,0.0,7,Chris must fit the needs of the morning crowd so this is fair,4,5,6,4,2,3,I do not know Chris but he should be happy his manager wants him to work this shift,6,I would assume his formula to scheudule people is accurate which means he knows what he is doing.,3,32,2,4,1,0
,R_vIhOSo1JerNkPHb,4,3,2,1.0,0.0,4,"The algorithm is a good tool for monitoring his performance, but ultimately his human superior should make the final assessment.",3,2,3,4,5,5,I think he would be annoyed that his performance was being constantly monitored.,4,"The algorithm would work well, but it might make mistakes, so the results should be more of a guideline rather than the final judgement on his performance.",3,31,2,4,1,A mathematical pattern.
,R_1hG7Tf77XfO4ahJ,3,5,5,0.0,0.0,7,It is fair.,6,6,7,1,1,1,He should feel good about an onsite interview.,6,Onsite interview would help determine a good employee.,2,23,2,5,1,0
,R_BS0jFFqtywfGR7H,2,3,3,0.0,0.0,2,This should be a decision solely made by a person.  It sounds like the manager could make choices and blame the algorithm...or allow it to make choices that he should be making based on his personal knowledge of the employees.,1,1,2,6,6,7,"Again, it's not right to let an algorithm make such determinations.  Without personal knowledge of individuals, it is plain wrong.  Chris would likely be frustrated (at best) about this.",2,It can't make decisions as a human would.  Taking out that element makes it a clinical decision without concern for people's welfare.,2,42,2,3,1,A set of calculations made by a computer to draw conclusions.  It's based on data that is input for it to compute.
,R_332PLjrVWPq38Bq,3,2,2,0.0,0.0,5,Because having an algorithm do it removes a lot of human error.,4,4,4,4,4,5,There are certain things algorithm's can't get right like human emotion. Chris might do exceptionally well in communicating which I don't think an algorithm can pick up on.,4,"I think if an algorithm is used, it would be best not to remove the human element out of it as well. Machines can do a lot of things well, but I don't think it can pick up the nuances of human behavior very well yet. That's where having a face to face with human would be ideal.",1,35,2,5,4,It's a computerized system that categorizes things in a certain way.
,R_1E4ZFubF0TKD4CC,4,1,1,0.0,0.0,3,It seems impossible for a computer to accurately measure the emotion behind someone's voice.,3,3,4,5,2,4,I don't think he would think it was a very fair system.,2,I do not think it would be very accurate.,1,36,1,3,1,Rules or processes to measure and determine things.
,R_xsjiwDOzum98z0R,3,4,2,1.0,0.0,6,"Because the algorithm is applied to all resumes, it is ultimately fair as a process. It may not be the best process, but it is fair.",4,4,3,5,5,5,I think that Chris would approach the situation with some pessimism.,4,"It really depends on the algorithm, not that there is an algorithm. Technically, a manager would probably undertake an algorithm as well for the most part - no degree, no experience, etc - these are just rules that a manager applies, and instead those resumes are being filtered by a ""process"".",4,35,2,4,1,They are just a process or series of steps or rules that are applied to data. They are not exclusive to machines.
,R_3D9VWZwVwqyEps5,1,1,1,0.0,0.0,7,"I think it is fair to have a human to check it, after the computer does the algorithims.",7,6,5,4,2,1,I think Chis is happy to to perform the job.,7,"The computer analyzes everything, so I trust that aspect of it.",1,35,1,3,2,A computer program that analyzes certain sequences of things.
,R_urDRdUH7cmgtwFb,2,1,1,0.0,0.0,5,As good as anything else i guess,4,4,4,4,4,4,I dont know if he wants those hours or not,3,Its probably better than humans if theres some kind of backup eyes on it,2,22,2,3,1,A program thats written to do a certain task
,R_ymSYJXonYhQifx7,1,2,2,0.0,0.0,5,If this kind of technology has worked in the past to prevent operation failures then it would make sense to cotinue to use it.,2,2,4,2,2,2,"He is not actually doing anything to create the algorithum, he is just following what it says.",5,He has history with the analysis in this way,1,35,1,5,2,a bunch of averages made by a computer system.
,R_1jBSWsSA3I3BedB,1,5,5,0.0,0.0,5,He is just doing his job.,4,2,2,2,3,3,He is tired of dealing with it but it is his job.,4,They have been working together for awhile.,2,20,2,4,1,0
,R_w4VsqsRnILGN5ex,3,3,3,0.0,0.0,3,I think it is unfair for a software to determine our future careers. This work shoud be done by a human,2,2,1,6,5,6,I think Chris will feel unappreciated that his resume is being evaluated by a computer software and not a person.,4,"The software will choose based on a set of instruction given and will not consider other factors such as personality, leadesship qualities.",1,31,2,5,2,Algorithms are a set of instructions given to a computer inorder for it to perform certain functions. 
,R_1eV3PiBJiSsKwp0,1,4,3,1.0,0.0,6,"The algorithm is impartial, so it going to treat Chris fairly.",3,3,4,3,2,2,"Chris shouldn't feel happy or sad since it is a result based on information, not someone's opinions or feelings. ",6,The combination of the two seems to cover what is important when it comes to making the task assignments.,3,23,2,3,2,Algorithms are ways that computers get things done. Any complicated process is an algorithm. 
,R_3NHUyiU3DoEw15j,1,3,4,1.0,0.0,6,It's completely fair for it to assign the task since it figures out what component needs maintenance.,4,4,4,2,2,2,"I don't think that Chris would be upset by it but I don't think he would be particularly happy, he would stay neutral.",4,I don't fully trust any machine or program that was made by man because it is imperfect and has the ability to fail.,1,30,1,3,2,Algorithms are programs that are set up to choose a certain way of doing something or monitoring things.
,R_1DInp1KJMzA7hkR,4,3,3,0.0,0.0,5,"I think it's somewhat fair as you can determine how well a call is going by the tone of voice, which is everything for customer service. ",4,4,4,4,4,5,"I think he may feel that it's ""out of his control"" with an algorithm however if its done well, it would work excellently. ",4,"If it's programmed well, it could help save time and evaluate fairly. ",1,33,2,3,1,A complex setting based on many examples. 
,R_2PusnzdfGgFznwu,2,4,3,1.0,0.0,7,The algorithm schedules employees to balance workloads.,7,7,7,1,1,1,I believe Chris would enjoy the algorithm.,7,I believe it is scheduled fairly.,2,24,2,4,1,An algorithm is a mathematical formula to decide how to relegate resources.
,R_aeB2YxT8vy4P70d,2,1,1,0.0,0.0,2,A computer is used to determine his life. ,2,2,2,5,5,5,He doesn't have control over what happens to him. ,1,I don't trust a computer algorithm to make decisions that affect my life,2,31,2,2,5,Data collected by a computer to determine an outcome. 
,R_3ay3Y4VOrF1hnfH,4,1,1,0.0,1.0,5,thought it was pretty fair,5,5,5,3,3,3,thought he was pretty good ,4,i have some  trust not full ,2,30,2,3,1,rules followed by a computer system to detremaine things
,R_OyftqgCLlyzioV3,3,3,3,0.0,0.0,6,The algorithm is able to sift through so many more applicants than a person physically could.,5,5,5,3,3,3,He would think it was fair.,5,I think it would be more fair than the manager strictly picking.,1,27,1,4,1,algorithms are formulas used to process data
,R_2tr796NlVGEIqGt,3,2,2,0.0,0.0,4,"I think its fair because an actual person is making the final judgement, but also unfair because its an computer making initial choices.",4,4,3,4,4,5,Could potentially be frustrating based on results,3,They can only do so much after the algorithm has selected a few applicants.,1,27,2,4,1,measures that are set up in a computer system to perform certain tasks that would take too long for humans to do
,R_3Q0nqBNdaGje2dl,1,4,4,0.0,0.0,7,"It's simply what needs to be done. Between the algorithm and the manager, checking the component is likely to be the right task.",2,2,2,1,1,1,"I don't think Chris would really have any of these emotions about it. It would likely just be part of the job, unless he specifically didn't want to make the check.",7,Combining the algorithm with the manager increases the probability that the results will be accurate.,3,22,1,5,1,An algorithm is a series of steps followed to complete a procedure.
,R_2uZB00RPxlx6SdM,2,5,5,0.0,0.0,7,It's the manager's job to assign shifts and he did his job. It is part of Chris's job to work when scheduled. ,3,3,4,5,4,5,I would guess most people don't like to work in the morning. ,5,"I don't have much information, so I can only give him moderate trust. ",1,30,2,4,1,0
,R_UX7wNSu3Ayor9dv,3,5,5,0.0,0.0,7,"Why wouldn't it be fair? He analyzes the options and chooses the best one. It seems pretty fair to me, I can't think of anything unfair about it.",6,6,6,1,1,1,"I don't think Chris would have any problems with this technique, as it seems to be fair and it's pretty much the way any other job chooses applicants... they go over their options and choose the ones that are best suited for the company's needs.",4,"I don't truly trust anyone until I know them well, but given that this is his job, I would assume that he's been trained in this area and that he knows what he's doing, so I would trust him to do his job correctly.",2,36,2,4,1,0
,R_3Pnnx2Bip1en7Vl,2,2,2,0.0,0.0,6,The algorithm will be unbiased in it's scheduling and applied to all employees equally.,5,4,4,2,2,2,"Since the algorithm is based on availability, Chris should be fine with his schedule.",5,It's a logical step-by-step process with little room for error.,1,37,1,5,1,Formulas that take different kinds of information into consideration and come up with solutions based on this inputted information.
,R_2f7E2QkNOFM6bW4,3,2,2,0.0,0.0,3,I think that the algorithm could miss things or misinterpret things. ,3,3,2,5,4,6,I think that he would feel frustrated that no one is actually reading his information. ,3,I think that the manager can make a good decision but may miss a lot of good people. ,2,26,2,5,1,I think they are computer programs designed to look for patterns.
,R_2eR64x4zXTDwIhc,4,2,2,0.0,0.0,4,"It's what it is. Nothing is fair in the workplace when it comes to performance evaluation, it's all subjective anyhow. ",4,4,4,4,4,4,"I don't know, he probably doesn't have feeling until AFTER THE EVALUATION. ",3,I don't know how good the algorithm is. His evaluation is largely based on what the computer tells them. ,2,30,2,4,1,Predefined rules that calculate data. 
,R_31ZQUElmyIEXxop,4,4,4,0.0,0.0,5,It should really be by his manager.,3,4,4,5,5,5,I personally believe that he would like to be evaluated by a human.,4,Again...humans.,2,27,1,3,1,"a process of calculations based on a set of rules, usually by a computer."
,R_3qQK1YSbDgCm7zZ,3,1,1,0.0,0.0,6,the algorithm woulc come up with a fair solution,6,5,6,2,1,2,i don't think he would feel a certain way,5,it's programmed to make good decisions using the given data,3,22,2,3,2,a set of instructions
,R_279V05mDOhGj7Tz,1,3,3,0.0,0.0,5,"The task is being assigned by a computer, not a person. There's no sense of unfairness because of this. I feel like in order for something to be unfair, there has to be another human causing it.",4,4,3,2,1,2,Chris is likely just going through the motions. I don't think he views these tasks as any certain way.,6,"There's likely little room for error within the algorithm, especially since it's constantly monitored.",1,22,1,5,1,Algorithms are sets of code that tell a computer what to do or how to solve a task.
,R_w0PRCQm4NPHC8MN,1,1,1,0.0,0.0,7,I believe it is fair that an algorithm determines what needs to be fixed. ,6,6,6,1,1,1,I believe he would be pleased as the room for error with the algorithm is most likely miniscule. ,7,Algorithms are proven to help in many areas of life and I definitely trust them.,1,30,2,5,1,Algorithms are a set of computer calculations that are used to assist in solving problems.
,R_UROJ3efK8VBh8Dn,3,4,2,1.0,0.0,6,the manager looks at the statements to get a feel for the applicants and the Algorithm looks for key words in the resume that match what the company needs thus reducing the time needed to search for applicants who are qualified.,5,4,5,4,2,3,he might feel a little frustrated based on if he was selected or not otherwise i believe the system is fair,6,computers dont make choices based of off likability they have a task to do they search for applicants who meet the requirements,3,31,2,4,1,a computer program that looks for certain criteria that the user inputs
,R_25LolQq0EJl3VjX,2,3,3,0.0,0.0,4,I don't think it's fair or unfair because the algorithm is simply looking at all the factors and making the best choice with that information.,3,4,3,6,5,5,"While the algorithm didn't make a fair or unfair decision, i could see how Chris would be annoyed with the fact that his schedule is automated in such a way.",4,"It depends on how well-built the algorithm is, and at a place like that I would think it might not be very good.",3,30,2,4,1,Algorithms are programs that take in certain data and use that data to find outcomes to problems.
,R_1jU6UPpktc6bd2p,4,5,5,0.0,0.0,6,That's perfectly normal. I don't see why someone would think it was unfair.,2,2,4,4,3,4,"I'm assuming Chris' reaction to being evaluated, not his reaction to the contents of the evaluation.",3,"I don't know this manager, but I would automatically give him/her a small amount of trust just for being a manager.",2,28,2,3,1,0
,R_2XpRZs3Bfc8zgED,2,3,3,0.0,0.0,4,It doesn't seem that bad that he is scheduled mornings,4,4,4,4,4,4,I'm sure chris would be indifferent.,5,I trust it because a manager can adjust it,2,21,2,3,1,I think algorithms are like a program or series of steps to reach a result
,R_2vkbLgjGVlYWe1f,4,4,4,0.0,0.0,5,"It's good to have a human analyze things sometimes, in addition to a compute.r ",4,4,4,6,4,4,"Chris might feel as though he is doing bad and needs a human to also look after him, in addition to a computer. ",5,The manager knows the people better than the computer and can influence a more favorable (or not) outcome relevant to the individual . ,2,35,1,2,1,A system that analyzes data and makes assumptions based on past data
,R_2YWKCUrHIZ5JlHR,1,3,3,0.0,0.0,6,It seems to be fair.,6,6,6,2,2,2,Chris would probably feel good.,6,There is no reason not to trust the algorithm.,2,23,2,5,1,A process or set of rules.
,R_2PBFuWaopWVVw7Y,2,5,5,0.0,0.0,7,Completely fair. This is part of the job and this is what is required of him.,6,6,4,1,1,1,Why would he be mad about having to work in the morning? Would he prefer working in the middle of the night?,7,The manager knows when the most customers come in and is best suited to make schedule changes.,1,27,1,5,1,0
,R_3gTKOABpXis6ctd,3,5,5,0.0,0.0,7,Every applicant is able to showcase themselves in the same way creating an equal chance at getting an interview. ,5,4,6,2,1,5,I think that he would be nervous and frustrated if they considered him a top applicant but also happy if he considers himself quality.,5,It is in the managers best interests to get a good worker to succeed in his own job so I think he would try and pick the best possible applicants. ,2,25,1,3,2,0
,R_1OCXDDtB07fpnpS,2,2,2,0.0,0.0,6,It seems like a fair way to make sure the shifts are covered.,6,3,2,2,2,2,He would probably be happy to work,5,If the algorithm is right it would be a good way to decide so long as they could change it,1,47,1,3,1,A computer program that analizes data.
,R_2aQSvE81VkyzTiO,3,1,1,0.0,0.0,5,I think it's somewhat fair because it's a algorithm  deciding and a algorithm can't pick someone just because they personally favor them due to some sort of relationship and the algorithm  may not see all their unique qualities.,4,3,3,3,2,5,I think he would be somewhat frustrated because it's an algorithm deciding if he gets the job or not and not an actual person he can talk to.,4,I trust it some because it's just an algorithm it's not an actual person who can see if someone is just going to be lazy or if they aren't what they stated when they took the test.,1,25,1,3,3,A computer coding set to identify the best answers and see what they are like and what they prefer based on set questions or search results.
,R_3JqFvR3pkuudosx,3,4,4,0.0,0.0,5,"It is standard practice to use an algorithm, so it's fair in the sense that it's common, but it's not as good as having a human read them.",3,3,3,5,5,5,I think resume algorithms tend to frustrate most job seekers.  It becomes a game of how to get the algorthims attention,5,I think in most cases it does ok,3,38,1,6,1,they are computer programs that analyze data
,R_1pDlFUM2iVcEpPk,1,4,2,1.0,0.0,5,he's working in amanufacturing factory so he might know about it.,5,6,6,3,4,3,I think that he loves and he's proud of his job.,4,"though it takes a lot of reviews and test to make algorithm trustful and accurate, it needs to be always monitored ",1,29,2,4,1,algorithms are programs and codes needed for a system to function automatically.
,R_Oa2q64cH7v6c4Rb,1,5,5,0.0,0.0,7,The manager must believe that Chris can do the job.,7,7,7,1,1,1,I think Chris is good with the decision.,7,The manager seems very trustworthy,1,31,1,2,1,0
,R_3ewaZKVDUqKfCpH,1,5,5,0.0,0.0,6,It is his job to analyze and maintain the components of the factory. If Chris works on the factory floor then he should be able to check and work on the machinery. ,2,2,2,2,2,5,"I'd imagine there is a chance that Chris may not like his job. He wouldn't be happy to do it, that seems a it unrealistic. ",4,"There isn't enough information here to determine if this manager is actually competent. As such, I feel that he has to be somewhat decent in order to still have the job. Therefore, he gets the option of somewhat trust. ",2,30,1,5,2,0
,R_shZQmMkI4y7aogN,2,1,1,0.0,0.0,4,Not sure how the algorithm works,4,4,4,4,4,4,calm,4,I need more information,2,27,1,6,4,computer programs
,R_2uwILiLSuoaeHlM,1,1,1,0.0,0.0,4,There's not enough information presented for fairness to be an issue.,1,1,1,1,1,1,I think it's a job for Chris. I think he's feeling mostly neutral and indifferent.,4,I was not given information on how well the algorithm performed.,4,35,2,5,1,"a process used to solve a problem, typically used by a computer "
,R_2DP9stF2RbG2b9q,1,2,2,0.0,0.0,7,Its part of his job working at the factory so its very fair.,5,4,5,1,1,3,Hes happy to do work on his job and fix things.,6,The machine decides whats wrong and the manager gives the work to the workers,1,23,2,3,1,Rules a computer uses to solve problems
,R_yDVgx10NJtdrUqd,4,5,5,0.0,0.0,6,A manager should want the best people for the job so evaluating his employees is fair as they are getting paid to do a good job.,2,1,3,2,3,4,I don't think Chris would like it,6,I think a manager just wants the best person so he would be honest,1,24,2,3,1,0
,R_2ZK34YOZ4VXhQrH,4,1,1,0.0,0.0,5,It should be pretty good for this,5,5,5,4,3,3,He might feel good that there is a chance things are fair,6,There is a good chance it works,2,27,2,3,1,Automatic processes 
,R_1i3DjAMzaYOZ7DP,2,1,1,0.0,0.0,7,If the algorithm uses employee availability then it seems very fair.,7,6,5,2,1,2,He's available so he would probably want to work.,6,It does not rely on humans.,2,32,2,5,1,Computer rules for determining things.
,R_2fIhGRuArRwHgUa,3,3,3,0.0,0.0,7,I think it is more fair that it is reviewed by a human. That makes the chance for error less in my opinion.,4,4,4,4,4,4,I don't think it would hurt or improve his feelings either way.,5,I think the manager would want to hire the best for the job so I trust him to do so which would make his job easier in the long run.,3,34,2,4,1,A set of rules that are applied to a certain situation to help determine a data point from the given information.
,R_2Cla9gUmMzQ5ZH8,2,4,2,1.0,0.0,4,Fairness does not come into play when filling open time slots for hour of work needed. I would imagine that Chris is scheduled according to either policy or hours he has agreed to work.,4,4,1,1,1,1,"Unless the algorithm is wrong or is robbing Chris' hours or overworking him, I don't see how feelings can even come into play.",5,"Depending on the algorithm, it can fill slots with the best employees for the needed work to meeting the needs of the demographic being served.",2,53,2,3,1,"Algorithm is a fancy word for flow-chart. It is just a computer program that chooses based on ifs, elses, thats and other functions."
,R_1n8GIHJbk0lkJcV,3,3,3,0.0,0.0,6,The algorithm would only select the most qualified candidates and not use any kind of bias.,2,2,2,2,2,2,Chris would feel neutral until he finds out if he is picked or not,6,The algorithm will not make mistakes,1,45,2,3,1,They are computer programs that solve problems or calculations
,R_3npjcNoMGRUyX4I,2,5,5,0.0,0.0,4,Standard practice in a business.,5,4,4,3,3,3,No indication that Chris doesn't want to work mornings.,5,Had good experiences with scheduling managers.,3,39,2,5,1,0
,R_12a5egnpJzKlVfF,3,2,2,0.0,0.0,6,They are chosen by the algorithm and then by the manager to ensure the best qualified applicant.,6,6,6,2,2,2,He would like the fact that the algorithm would pick the best candidates to be chosen by the manager,6,He has the experience necessary to make the right choice,1,31,2,5,1,They are a process computer uses to calculate problems or operations.
