emotion,ID,task,decision maker,mc,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
,R_wTXwRjg6dMvyxrz,3,2,3,1.0,0.0,3,I feel Chris deserves to have his resume read and not put into a computing system to be compared to other's by a computer.,2,3,5,6,3,5,I think Chris's feelings would be different depending on if he was chosen or not.,6,I believe  the manager will choose the best candidate from the top choices presented by the algorithm..,1,32,1,4,1,A computer calculation of how things are chosen and seen to the user.
,R_1dB8zbpw6DHAmNH,4,1,1,0.0,0.0,3,algorithms cant be fully and fairly evaluative ,4,4,4,4,4,4,it's hard to tell based on what the results come up as in the evaluation,2,I don't personally think the algorithm can appropriately gauge ,1,27,1,5,1,computer programming
,R_Y3KpXOyaRrZr21P,3,3,3,0.0,0.0,6,ITS FAIR ,5,5,5,2,2,2,FEELS OKAY,6,THERE IS TRUST ,1,30,2,5,1,NUMBERS 
,R_2ve8AIC94ElYYuY,3,4,4,0.0,0.0,6,The manager can't possibly read thousands of resumes so the analysis by the algorithm is necessary to narrow the search. ,2,2,2,5,6,7,I imagine he would be disappointed and angry that a machine is deciding if he can do a mans job or not. ,3,Algorithms are very complicated things and not very prone to flexibility like a hiring manager might need to be. ,2,31,2,5,1,algorithms are analytical computer programs that parse data by preset variables sorting it in many different ways 
,R_2ceezPAc8he39l2,2,3,4,1.0,0.0,6,"As long as Chris is OK with working those hours, I see no problem with it.",4,4,4,4,4,4,The algorithm chose according to worker need and really had nothing to do with Chris at all. He shouldn't feel any emotions one way or the other.,4,"As long as the manager can step in and account for employee emergencies and whatnot, I see no problem to using this algorithm.",3,39,2,3,1,Descriptions of processes used in order to perform a task.
,R_21adXC35Irx0u4z,2,1,1,0.0,0.0,6,"This appears to be fair, as it does not schedule an individual during a time that he/she is not available, in addition it also takes into account the typical amount of workload the individual can handle which is quite nice ",5,5,2,2,2,5,"It is quite possible Chris may feel frustrated he has to work the morning shift, however he could also have the opposite emotions since he is able to work and make a living",5,"Even though the computer can use an algorithm to determine what time ""best suites"" the employee, it is still a computer which cannot fully comprehend human emotions. It would not be able to see how well the individual performs during the day, nor does it know how well the individual will work during the time of day it schedules the individual to work ",2,21,2,2,4,"algorithms are number based calculations that represent real things such as individuals or other objects, to determine the best option to take  on a computational level"
,R_3gOAavmH1ZZkVtC,4,3,3,0.0,0.0,6,Seems like a good way to analyze his calls,4,4,4,2,2,1,Seems right to me,6,The manager can make changes so I would trust it,1,27,1,2,1,A set of rules to follow to do something
,R_1CECQ1GXTxiF5a1,1,3,3,0.0,0.0,7,I feel the algorithm isn't able to pick favorites.  It chose Chris only because the algorithm told it to.  I'm sure that each employee is called upon equally and without favoritism or anything like that.,3,3,3,5,5,5,"I feel that Chris would rather do minimal work, and would be slightly disappointed that the algorithm chose him.",6,I feel that the algorithm is likely fine tuned to keep the machines in good working order.  I feel that it can make decisions regarding machines better than any human can.,2,31,2,5,1,They are complex mathematical problems that help a machine or software perform a task by following a cookie cutter recipe.
,R_3JCrrRKK2eU1awU,3,5,5,0.0,0.0,7,He is the manager so that is his job. It's totally fair.,4,3,2,3,1,1,Chris may not feel the manager will pick him and not be able to try to get the job.,6,Some people always have biases or special reasons to select someone even if they may not be the best.,4,46,2,3,3,0
,R_2YE9qmzR9Jcp6r1,4,3,2,1.0,0.0,4,based on my gut feeling,6,4,4,5,5,4,based on my gut feeliing ,4,just based on how i would trust,2,25,2,5,1,no idea 
,R_3jVUcnvysseDVpc,2,5,5,0.0,0.0,6,"Part of a business owner's responsibility is to meet customer demands AND make a profit doing so. Scheduling people when ""demand"" is ""low"" or ""high"" is just part of manager's responsibility to the businss.",4,4,4,4,4,4,"He took a job that requires this function (scheduling). He should not feel any emotion about it, imo.",6,"If he's good at is job, his scheduling skills should be sufficient.",1,66,1,3,1,0
,R_2xDBiKvzaav0fFq,2,5,5,0.0,0.0,6,He is the manager and dictates the scheduling,6,5,4,2,2,2,"For a coffee shop, I would think the morning is the best time to work. ",5,"I would assume that the manager is making the  most logical decision, therefore, I'd trust it until he gave me reason not to. ",2,40,1,5,1,0
,R_wLXl3yTxHb1LA5j,1,1,1,0.0,0.0,7,It helps Chris to do his job more efficiently and not check parts that does not need it.,5,4,7,1,1,1,His workload should decrease alot and if something breaks he is there to fix it.,6,It will be able to determine the possibilities of breakdowns for the most part.,1,54,1,4,4,Algorithms are helpful for time management.
,R_24IZa5Qmhg3TTAA,4,2,4,1.0,0.0,5,the computer algorithm will not be biased,5,5,5,3,3,3,he would feel these things because the algorithm is fair to everyone,5,the manager has to accurately interpret the results ,1,33,1,5,1,algorithms are a set of parameters
,R_3qBE9KSEEPdXZnN,1,2,2,0.0,0.0,4,I cannot determine with any degree of accuracy the level of fairness of this decision,5,4,4,3,2,4,I have to assume that Chris is aware of the algorithm and would not feel particularly strong about his being picked ,4,I do not know the manager at all thus cannot make an accurate assessment of their leadership skills,2,47,2,3,1,Computer programs that compile data and act in certain ways that steer a process in the direction the programer desires
,R_2PBTn7V4F5iItjY,4,3,3,0.0,0.0,2,An algorithm wouldn't take into account Chris's intentions ,3,2,2,5,5,5,He would be frustrated because a formula is judging him rather than a fellow human being.,3,"If it's following specific guidelines, it will surely miss something",1,31,1,3,1,A formula set up around certain parameters. You will always get the same answer to the same question
,R_3RvI5gjWvdYXY3G,3,5,5,0.0,0.0,6,The manager screens the applicant pool in search of the person most suited for the job. After finding options he thins the talent pool and makes his selection. This seems like a fair way to make sure the correct person for the job is chosen. ,4,4,4,4,4,4,I have no idea if chris is a part of the top applicants chosen for further review. It makes figuring out how chris would feel following these choices difficult. ,4,The 2nd interview seems like a quality control measure on his part to double check his choice. This has the mark of someone with experience in choosing from within a diverse pool,2,25,2,3,7,0
,R_20MNVOWKOrL3v9g,3,2,2,0.0,0.0,7,Everyone is being judged by the same criteria with the algorithm. Because of that there is much less chance for bias to influence the decision. ,4,4,4,1,1,4,I don't see any reason why Chris would be angry or happy over the use of the algorithm. The use of it doesn't harm him but it also doesn't do him any good unless he gets chosen.,7,Everyone is being judged by the same criteria so anyone who makes it in front of the manager is equally qualified.,2,33,2,4,1,Formulas that give out predictable outputs given certain inputs.
,R_3I63tzsVWxcqb9l,4,4,4,0.0,0.0,5,"It's also using a human aspect, so it's not just using hard numbers.",3,3,3,5,3,5,Who wants to be judged by a machine?,3,Nobody wants to be a piece of aggregate data.,3,34,2,5,3,Aggregate of measurements used to determine something
,R_2Sv52H4bDtnK2Zj,1,1,1,0.0,0.0,5,it is random,2,2,3,6,5,5,no one wants to do the dirty ork,5,it depends on who wrote the algorithm,2,18,2,3,2,algorithms are codes
,R_1IFRAqJLCreaZ3e,3,2,3,1.0,0.0,6,I think it's fair because the computer is analyzing the qualified applicants and the algorithm isn't subject to bias like people are. ,4,4,4,3,4,3,"I think he would feel fairly neutral about it, as he can't argue with a decision made by technology",5,I think the manager can make good decisions based on a quality pool of applicants received by the computer,1,34,1,4,1,a program that scans vast amount of information and can pull criteria from that information as specified
,R_3rYSnzcqLht6pj9,1,3,3,0.0,0.0,4,I think its his job,4,4,4,4,4,4,I think its his job to do it.,4,It might malfunction,1,29,1,3,1,A computer
,R_2VPDJGrBTDllNu5,2,3,4,1.0,0.0,7,the outcome is the best for the shops success,2,2,2,5,5,7,he would be frustrated he did not get to pick his schedule,6,the algorithm looks at past customer history,1,28,1,4,1,a formula that makes decisions on data
,R_aXnUzotbQZl9JzX,2,5,5,0.0,0.0,4,i don't know chris's work preferences,4,6,3,7,5,5,I imagine he would be more disappointed than anything.,4,Would need more information.,3,24,2,3,1,0
,R_1MMOHf06ok5WVBX,1,3,3,0.0,0.0,6,I think its fair because the computer does not know him personally.,3,3,6,3,3,3,I fon't think he feels much other anything. He is there to get paid for the work he is doing at his job.,5,Its a computer that was most likely made to be completely fair and some components doubtful allow manger to do something unfair,1,32,1,2,1,It is a machine that was made to check all the macines for problems and alerts someone when there is a problem that may need to be fixed which would keep the machines running better. 
,R_1ZE7ck61Nq84LzX,4,4,4,0.0,0.0,7,"I think it is fair because the algorithm puts everyone on an even playing field, while the manager is able to confirm what it finds..",4,4,4,1,1,2,"About the process itself, I don't think the general person would care at all.",6,The double check systems allows it to be fair while not completely emotionless.,1,28,2,5,1,They are computer programs set to process data in a certain way.
,R_3KVhsLd06yJFu5A,1,4,4,0.0,0.0,7,"If the algorithm is used to help pick the best employee to check the components, I believe it is very fair.  That is, assuming the algorithm is developed correctly.",4,4,4,4,4,4,"If Chris understands that it is an algorithm that decides, then I don't think he will be too emotional in a good way or a bad way.",5,"I trust technology going forward, but I would need to see more examples of how well the algorithm has done in the past to be more sure.",3,33,2,3,1,An algorithm is a set of rules a computer must follow.  They are usually used to help humans solve problems.
,R_puCjeNIiGy98vOF,2,4,4,0.0,0.0,7,It is fair because both the algorithm and the manager approve the time schedule.,4,4,4,4,2,4,"Not knowing how Chris feels about work I can't say what his feelings about working are. But, based on the fairness of both manager and algorithm making the decision I would guess he wasn't angry.",6,"Being that both manager and algorithm make the decision, I think that the decisions can be trusted.",2,38,1,4,1,Algorithms are pre-programmed processes that computers run to determine something without the input of a person after the initial programming.
,R_27rNjTy1dpOaRR4,3,5,5,0.0,0.0,7,"it's fair, it should be done by someone who knows what to look for ",7,6,6,2,2,1,"he should feel good, if he gets picked then he's clearly qualified ",7,the dude is a manager of course he's trustworthy. that's how he became a manager,1,28,2,5,1,0
,R_3I0EKrT8VERP2Eb,3,1,1,0.0,0.0,3,There could be an error within the algorithm that would pass over a well qualified candidate to hire,2,2,2,6,6,6,I think Chris wouldn't feel right about having a algorithm decide his fate.,2,The algorithm could fail and pass over well qualified applicants ,2,34,1,2,1,calculations and problem solving done by a computer
,R_1GH0KtstCvNw6Fp,1,2,2,0.0,0.0,6,The algorithm has analyzed that this part is important to the factory and more likely to break down so it's fair that Chris has been assigned this task.,4,3,5,2,2,2,It's Chris' job to take care of this maintenance so he wouldn't be joyful about fixing it because it's work. He would probably be proud that he's able to fix it.,6,The manager is following the algorithm so it helps him make good task decisions.,2,38,1,5,1,I think algorithms are output information a computer comes up with after analyzing different factors mathematically.
,R_1kNbO8h57v5gZIw,4,2,2,0.0,0.0,6,as long as all employees are reviewed the same way it seems fair. Elminates any bias the manager might have too,6,6,5,2,2,3,As long as the employee was doing his best he should be proud of his work,6,We trust self driving cars why not trust computer program set to eliminate bias ,1,38,1,2,1,set of rules instructions to follow every time
,R_3PHbBjgAGvCXfOy,4,3,3,0.0,0.0,3,"It may be monitored by his manager, however, the algorithm is still just code, and I don't feel that can understand a lot of the nuances of human conversation as well as a human could.",2,1,4,6,5,5,"Overall I felt that Chris wouldn't be happy, or joyful that an algorithm was evaluating his performance instead of his manager, so low on those metrics, as well as high on other metrics such as disappointed or frustrated because I feel Chris would suspect that the algorithm could get things wrong.",2,"Code, albeit monitored and adjusted, is not replacement for the thought, and concern of an actual human, and thus I feel that this would be a very poorly done employee evaluation.",2,34,2,5,1,"An algorithm is a set of rules that a computer, or really, a person, could use to come to a decision or solve a problem."
,R_3ilraO3G3TS50n8,3,4,4,0.0,0.0,4,It depends if that approach does pick the best person for the job.,4,4,4,1,1,1,It depends if Chris believes that if this approach does pick the best person for the job.,4,It depends if the algorithm does pick the best person for the job.,3,35,2,2,2,Complex rules that a computer program or programs follow in order to rank or select something.   
,R_3GkdXa5P87HLOg1,2,4,4,0.0,0.0,5,it would be nice if Chris had a say,3,3,3,5,4,5,He probably doesn't want to work mornings and/or have no say in the matter,4,it probably makes good decisions for the employer,3,31,2,5,1,mathematical functions that take inputs and produce outputs
,R_blvE0mJaJ9NI6L7,1,5,5,0.0,0.0,7,Chris's job is to make sure that certain components are working well and maintained properly. There is no unfairness in this.,6,6,6,1,1,1,He should be proud to have a job and take pride in doing his job,6,"If a person has been given a managerial position, it is usually because they have good judgement",1,43,2,5,2,0
,R_yyGekbtLMTZZrqh,4,4,4,0.0,0.0,4,"it's a tool to be used; it's neither fair nor unfair, in my opinion",5,6,4,2,3,4,I think Chris would feel that the algorithm is objective,5,"in some ways, it's more trustworthy than a human's evaluation",3,51,1,5,1,I think algorithms are predictive models based on data
,R_2xIRSSyggF5Lv6a,3,4,3,1.0,0.0,6,Although the criteria set in the algorithm may not be 100% fair it should make it where everyone is evaluated within said criteria equally.,3,3,2,5,5,5,I feel most people would prefer to have a more personalized experience when attempted to gain employment at a company.,4,Algorithm's are based normally on a limited set of data so they work well within a small vacuum but have big flaws.,4,31,2,3,1,Methods by which certain mental tasks are automated to reduce work time required.
,R_1CJUrCar5Z37Ct5,1,5,5,0.0,0.0,5,The manager must delegate tasks to oversee everything,4,3,5,3,3,5,"We might feel a bit frustrated if the task wasn't in his job description, but also proud that he was entrusted with the responsibility.",4,He should know what he is doing,1,38,1,3,1,0
,R_WrmbECb0TSFttdf,1,1,1,0.0,0.0,6,The algorithm does not think of fairness it only does it's job. That makes it fair.,4,3,2,5,5,5,HE doesn't want to be told what to do by a machine,6,The machine is programmed to do its job. It will do it right,2,34,2,4,1,A programmed set of infomation that decides when things should be worked on using formulkas
,R_3GpnaMOnSzdks3A,2,5,5,0.0,0.0,7,The manager is the boss,3,5,5,5,5,3,He would feel mixed.,4,Bosses need to have at least some trust in their employees.,1,23,2,3,1,0
,R_NWrwXGO3sAWpVPX,3,1,1,0.0,0.0,5,"I think it's somewhat fair that an algorithm does this because it chooses what the company is looking for most. However, Chris will not get to explain or show any personality to get the interview.",4,4,6,4,4,4,"He would probably feel indifferent unless he was chosen, in which case he would feel proud.",4,An algorithm can only do so much and computers can make mistakes. A computer may not be able to understand or catch somethings that humans would.,2,26,1,4,1,"The algorithms probably look over the resumes and statements for specific key words that indicate strength, knowledge, education, and work history. "
,R_2CHwcgA42b7F1nT,4,1,1,0.0,0.0,3,I don't believe an algorith can completely understand the happenings of a call. It would be better for a person to review it instead as the same tone could be used in a good or bad context.,2,2,2,6,6,6,"Chris wouldn't trust an algorith to review his performance, he would rather it be reviewed by a peer and/or by customer satisfaction reviews.",2,An algorith can not tell if a strong tone is being used in a good context or a bad one.,4,28,2,3,3,Algorithms are lines of code written to detect different things (formulas) and create a solution from the results.
,R_2TFc4IWMGjqw2RB,1,4,4,0.0,0.0,7,By using both the manager and algorithm the the efficiency of the machine will improve.,5,5,5,2,2,2,Chris is doing his job and would be happy that this improves his efficiency,5,Algorithms can make mistakes so I have moderate trust,2,62,2,5,1,Mathematical analysis of various functions with a statistical outcome
,R_b2XHrIZUyeP80Yp,3,3,3,0.0,0.0,4,It is neither fair nor unfair,4,4,4,4,4,4,Depends on if chris' skills match the algorhythm,4,depends on precision of algorithm,1,27,2,5,4,specific criteria to screen out applicants
,R_2YS6tCSEWqMMZ5H,2,2,2,0.0,0.0,5,The manager makes its decision based off of an algorithmic analysis and not just on emotion or what the manager thinks.,5,5,3,3,5,3,I think Chris would want to have some opinion on his schedule and what hours he would prefer to work.,4,Trusting the manager to do his/her job is something we have to do as employees. They know their job.,1,36,1,3,4,They are rules that the computer is programmed to follow and do.
