fairness ID,20 types fairness,fairness,fairness code,trust ID,20 types trust,trust,trust code,emotion ID,20 types emotion,emotion,emotion code
R_3JmWnhZz1pLgtBE,"5,4",5,5,R_1f2YogQNAXtAxIW,"5,4",6,4,R_RqxpMQYJI3ugvXb,"5,4",5.0,needs more info
R_RqxpMQYJI3ugvXb,"5,4",6,5,R_2UXCg2URhnObPtU,"5,4",6,5,R_2eQY0VZy1sjhMOI,"5,4",3.666666667,8
R_2eQY0VZy1sjhMOI,"5,4",6,13,R_3F3y1a8g3m2IWxc,"5,4",6,4,R_1f2YogQNAXtAxIW,"5,4",4.166666667,4
R_1f2YogQNAXtAxIW,"5,4",6,4,R_2bK5XDpey41FUBR,"5,4",6,4,R_2UXCg2URhnObPtU,"5,4",4.666666667,100a
R_2UXCg2URhnObPtU,"5,4",7,13,R_27lCCKL3epFl3IK,"5,4",6,4,R_3F3y1a8g3m2IWxc,"5,4",5.666666667,16b
R_3F3y1a8g3m2IWxc,"5,4",7,13,R_1DUp5yiNsSvw8Ch,"5,4",6,4,R_2bK5XDpey41FUBR,"5,4",5.666666667,18
R_2bK5XDpey41FUBR,"5,4",7,4,R_6xTOOJ9p4TS3jcR,"5,4",6,4,R_27lCCKL3epFl3IK,"5,4",5.833333333,7
R_27lCCKL3epFl3IK,"5,4",6,5,R_2OUUjsnhJiqO5md,"5,4",6,4,R_1DUp5yiNsSvw8Ch,"5,4",3.833333333,100a
R_1DUp5yiNsSvw8Ch,"5,4",7,4,R_2RVQbzNxPblUhRV,"5,4",6,4,R_6xTOOJ9p4TS3jcR,"5,4",4.333333333,100a
R_6xTOOJ9p4TS3jcR,"5,4",7,4,R_3egV2YRUnjgNXiN,"5,4",6,4,R_2OUUjsnhJiqO5md,"5,4",5.333333333,13
R_2OUUjsnhJiqO5md,"5,4",6,4,R_12SwX5NUTyUGBNk,"5,4",6,4,R_2RVQbzNxPblUhRV,"5,4",4.166666667,13a
R_2RVQbzNxPblUhRV,"5,4",6,4,R_20kISZJFAX4G40N,"5,4",6,4,R_3egV2YRUnjgNXiN,"5,4",4.0,51
R_3egV2YRUnjgNXiN,"5,4",6,4,R_3LZ0zc8EwcEeTFe,"5,4",6,4,R_12SwX5NUTyUGBNk,"5,4",5.666666667,51
R_12SwX5NUTyUGBNk,"5,4",7,4,R_3dPPsLSSaqDNlvf,"5,4",6,4,R_20kISZJFAX4G40N,"5,4",5.666666667,51
R_20kISZJFAX4G40N,"5,4",6,4,R_1CK52v8DuRSrybs,"5,4",7,4,R_3LZ0zc8EwcEeTFe,"5,4",6.333333333,51
R_3LZ0zc8EwcEeTFe,"5,4",7,4,R_9Gn5ND3Scobc1tX,"5,4",7,100a,R_3LZ0zc8EwcEeTFe,"5,4",6.333333333,13
R_3LZ0zc8EwcEeTFe,"5,4",7,5,R_aYoWPb2r14qcKJP,"5,4",7,100a,R_3dPPsLSSaqDNlvf,"5,4",4.0,needs more info
R_3dPPsLSSaqDNlvf,"5,4",6,4,R_3PYx7KrCciTMotN,"5,4",7,7,R_1CK52v8DuRSrybs,"5,4",7.0,16b
R_1CK52v8DuRSrybs,"5,4",7,4,R_2Qhc3pU9z0K56NU,"5,4",7,100a,R_9Gn5ND3Scobc1tX,"5,4",4.0,100a
R_9Gn5ND3Scobc1tX,"5,4",7,100a,R_8cCSLh2Vv2zwO2x,"5,3",3,10,R_aYoWPb2r14qcKJP,"5,4",4.0,100a
R_aYoWPb2r14qcKJP,"5,4",7,4,R_3dXt3JPCeNyIZAg,"5,3",4,needs more info,R_3PYx7KrCciTMotN,"5,4",4.0,13
R_3PYx7KrCciTMotN,"5,4",6,4,R_2dPWJZmEJ4VBlSH,"5,3",4,4,R_2Qhc3pU9z0K56NU,"5,4",6.166666667,51
R_2Qhc3pU9z0K56NU,"5,4",6,4,R_2wyLSb4fG3OCn6N,"5,3",4,18,R_8cCSLh2Vv2zwO2x,"5,3",5.0,100a
R_2Qhc3pU9z0K56NU,"5,4",6,13,R_2SoDxBDHOe5uFwG,"5,3",4,18,R_3dXt3JPCeNyIZAg,"5,3",3.333333333,16a
R_8cCSLh2Vv2zwO2x,"5,3",6,4,R_1qgL4LKz1Qju0GM,"5,3",4,4,R_2dPWJZmEJ4VBlSH,"5,3",3.5,100a
R_3dXt3JPCeNyIZAg,"5,3",5,4,R_33ycCIUO90Ceuf5,"5,3",4,10,R_2wyLSb4fG3OCn6N,"5,3",4.0,100a
R_2dPWJZmEJ4VBlSH,"5,3",4,10,R_3JsmUjJfpak43j9,"5,3",4,51,R_2SoDxBDHOe5uFwG,"5,3",4.0,100a
R_2wyLSb4fG3OCn6N,"5,3",6,5,R_1er60S9Kzg1y6Eq,"5,3",4,4,R_1qgL4LKz1Qju0GM,"5,3",4.0,100a
R_2SoDxBDHOe5uFwG,"5,3",6,100a,R_1OBSSuT0qyTZWPR,"5,3",5,9a,R_33ycCIUO90Ceuf5,"5,3",4.0,13
R_1qgL4LKz1Qju0GM,"5,3",6,4,R_1DwnCOF75s37nRv,"5,3",5,4,R_3JsmUjJfpak43j9,"5,3",5.166666667,51
R_33ycCIUO90Ceuf5,"5,3",7,4,R_2wNddNqGGidYdZK,"5,3",5,4,R_1er60S9Kzg1y6Eq,"5,3",4.0,not enough info
R_3JsmUjJfpak43j9,"5,3",6,5,R_1K8U3Ho4XBLAZnb,"5,3",5,10,R_1OBSSuT0qyTZWPR,"5,3",3.166666667,needs more info
R_1er60S9Kzg1y6Eq,"5,3",4,100,R_2vdCbnYDuXHYpzy,"5,3",5,4,R_1DwnCOF75s37nRv,"5,3",4.5,16a
R_1OBSSuT0qyTZWPR,"5,3",6,13,R_0pHpqQ99eZ3YOwp,"5,3",5,100a,R_2wNddNqGGidYdZK,"5,3",4.666666667,needs more info
R_1DwnCOF75s37nRv,"5,3",6,2,R_UEKy6glVYvVEHUB,"5,3",5,4,R_1K8U3Ho4XBLAZnb,"5,3",5.166666667,16a
R_2wNddNqGGidYdZK,"5,3",6,4,R_OveM2d7KmPDHewx,"5,3",5,4,R_2vdCbnYDuXHYpzy,"5,3",2.166666667,100b
R_1K8U3Ho4XBLAZnb,"5,3",6,13,R_1n1tuzwofQL2OPK,"5,3",5,4,R_0pHpqQ99eZ3YOwp,"5,3",3.666666667,100c
R_1K8U3Ho4XBLAZnb,"5,3",6,4,R_5umU0QfurvVTKk9,"5,3",5,4,R_UEKy6glVYvVEHUB,"5,3",5.0,13
R_2vdCbnYDuXHYpzy,"5,3",7,4,R_1n1wspx65dhzrCU,"5,3",5,100a,R_OveM2d7KmPDHewx,"5,3",4.833333333,13a
R_0pHpqQ99eZ3YOwp,"5,3",5,100,R_2ZCC4F19YYGtggk,"5,3",5,51,R_1n1tuzwofQL2OPK,"5,3",4.333333333,16a
R_UEKy6glVYvVEHUB,"5,3",6,4,R_2EoV5zBXmZRMVn4,"5,3",5,4,R_5umU0QfurvVTKk9,"5,3",5.666666667,4
R_OveM2d7KmPDHewx,"5,3",5,4,R_2q9FVNJ1Q38P9Cg,"5,3",5,4,R_5umU0QfurvVTKk9,"5,3",5.666666667,13
R_1n1tuzwofQL2OPK,"5,3",6,4,R_b9rMajpRA7y462t,"5,3",5,51,R_1n1wspx65dhzrCU,"5,3",3.333333333,51
R_5umU0QfurvVTKk9,"5,3",7,4,R_338ZftMhhfxq0pO,"5,3",5,4,R_2ZCC4F19YYGtggk,"5,3",5.666666667,51
R_1n1wspx65dhzrCU,"5,3",6,4,R_RzgJ0a2ysUpKJah,"5,3",5,needs more info,R_2EoV5zBXmZRMVn4,"5,3",5.833333333,51
R_2ZCC4F19YYGtggk,"5,3",7,4,R_VJOgX5C80Gmmv9T,"5,3",5,100c,R_2q9FVNJ1Q38P9Cg,"5,3",7.0,51a
R_2EoV5zBXmZRMVn4,"5,3",5,5,R_3MKmTeA8yNb8zKO,"5,3",5,9a,R_b9rMajpRA7y462t,"5,3",4.0,52
R_2q9FVNJ1Q38P9Cg,"5,3",7,4,R_3gO8cchqDvSrlnX,"5,3",6,4,R_338ZftMhhfxq0pO,"5,3",3.5,needs more info
R_b9rMajpRA7y462t,"5,3",5,4,R_3DdToAwguotx1OF,"5,3",6,4,R_RzgJ0a2ysUpKJah,"5,3",4.0,needs more info
R_338ZftMhhfxq0pO,"5,3",7,4,R_Apoz9bgSXO66lhL,"5,3",6,4,R_VJOgX5C80Gmmv9T,"5,3",5.0,needs more info
R_RzgJ0a2ysUpKJah,"5,3",7,4,R_3HS435VSk7OCV4O,"5,3",6,4,R_3MKmTeA8yNb8zKO,"5,3",4.333333333,not enough info
R_VJOgX5C80Gmmv9T,"5,3",7,4,R_3emoxPku8qRJEN8,"5,3",6,4,R_3gO8cchqDvSrlnX,"5,3",3.833333333,100a
R_3MKmTeA8yNb8zKO,"5,3",6,100,R_3emoxPku8qRJEN8,"5,3",6,9c,R_3DdToAwguotx1OF,"5,3",4.0,16a
R_3gO8cchqDvSrlnX,"5,3",7,4,R_suTuBJ7nW4CRRWV,"5,3",6,4,R_Apoz9bgSXO66lhL,"5,3",4.0,16a
R_3DdToAwguotx1OF,"5,3",7,2,R_2ZNt1C9wrEPFdPW,"5,3",6,4,R_3HS435VSk7OCV4O,"5,3",4.333333333,needs more info
R_Apoz9bgSXO66lhL,"5,3",4,4,R_2dz3Zzc0lf5qBnM,"5,3",6,4,R_3emoxPku8qRJEN8,"5,3",4.5,18
R_3HS435VSk7OCV4O,"5,3",6,4,R_1DpBELsjRfR0uDR,"5,3",6,4,R_suTuBJ7nW4CRRWV,"5,3",5.0,2
R_3emoxPku8qRJEN8,"5,3",6,2,R_1liwOlXOyAp4QJp,"5,3",6,4,R_2ZNt1C9wrEPFdPW,"5,3",5.166666667,2
R_suTuBJ7nW4CRRWV,"5,3",6,2,R_1lshoqm6C1Wq9qH,"5,3",6,4,R_2dz3Zzc0lf5qBnM,"5,3",5.166666667,16a
R_2ZNt1C9wrEPFdPW,"5,3",6,2,R_1mxGgvUpkrCUQHj,"5,3",6,51,R_1DpBELsjRfR0uDR,"5,3",5.666666667,3
R_2dz3Zzc0lf5qBnM,"5,3",7,4,R_3HpMuIBSUqByz0T,"5,3",6,4,R_1liwOlXOyAp4QJp,"5,3",3.666666667,100a
R_1DpBELsjRfR0uDR,"5,3",7,4,R_2WBae4eR7M7LI4t,"5,3",6,4,R_1lshoqm6C1Wq9qH,"5,3",4.833333333,100b
R_1liwOlXOyAp4QJp,"5,3",7,4,R_6QKwk2UTnOubC0N,"5,3",6,4,R_1mxGgvUpkrCUQHj,"5,3",4.0,16a
R_1liwOlXOyAp4QJp,"5,3",7,2,R_1o1QHyTJfrtrSI0,"5,3",6,4,R_3HpMuIBSUqByz0T,"5,3",3.666666667,4
R_1lshoqm6C1Wq9qH,"5,3",7,4,R_1OvmW0oYGEl82WU,"5,3",6,51,R_2WBae4eR7M7LI4t,"5,3",4.0,4
R_1mxGgvUpkrCUQHj,"5,3",7,13,R_2QfZeukVkcTY8Xj,"5,3",6,51,R_6QKwk2UTnOubC0N,"5,3",4.333333333,51
R_3HpMuIBSUqByz0T,"5,3",4,4,R_2TAWrGycNpuIjKm,"5,3",6,51,R_1o1QHyTJfrtrSI0,"5,3",5.666666667,51
R_2WBae4eR7M7LI4t,"5,3",7,13,R_1Ec92oxQRMOw3oj,"5,3",6,51,R_1OvmW0oYGEl82WU,"5,3",6.166666667,51
R_6QKwk2UTnOubC0N,"5,3",6,4,R_3JxYV3Wl7sclCzY,"5,3",6,4,R_2QfZeukVkcTY8Xj,"5,3",6.833333333,51
R_1o1QHyTJfrtrSI0,"5,3",6,4,R_Qhn9e5fCfB56Ulr,"5,3",6,100a,R_2TAWrGycNpuIjKm,"5,3",7.0,51
R_1OvmW0oYGEl82WU,"5,3",6,13,R_0qQCZsGeCWCXjlD,"5,3",7,13,R_1Ec92oxQRMOw3oj,"5,3",5.0,51a
R_2QfZeukVkcTY8Xj,"5,3",6,4,R_1OqKUP2AuHFeAbn,"5,3",7,100a,R_3JxYV3Wl7sclCzY,"5,3",3.5,52
R_2TAWrGycNpuIjKm,"5,3",6,4,R_3Gk5t9GdDqLekQp,"5,3",7,13,R_Qhn9e5fCfB56Ulr,"5,3",3.666666667,needs more info
R_1Ec92oxQRMOw3oj,"5,3",6,4,R_1isVe0W4M9dXO3e,"5,3",7,2,R_0qQCZsGeCWCXjlD,"5,3",7.0,16b
R_3JxYV3Wl7sclCzY,"5,3",7,13,R_4N4Eg3icUSkIWSR,"5,3",7,100a,R_1OqKUP2AuHFeAbn,"5,3",7.0,1
R_Qhn9e5fCfB56Ulr,"5,3",7,4,R_1kIDbUFz5oIZu9G,"5,3",7,4,R_3Gk5t9GdDqLekQp,"5,3",4.166666667,100a
R_0qQCZsGeCWCXjlD,"5,3",7,2,R_eKAKyzmE4dK8rol,"5,2",2,10,R_3Gk5t9GdDqLekQp,"5,3",4.166666667,1
R_1OqKUP2AuHFeAbn,"5,3",7,5,R_1o0eCCYyyKyiK7G,"5,2",4,4,R_1isVe0W4M9dXO3e,"5,3",4.5,13a
R_3Gk5t9GdDqLekQp,"5,3",7,4,R_2E3FnrVBZcXZrN6,"5,2",4,4,R_1isVe0W4M9dXO3e,"5,3",4.5,51
R_1isVe0W4M9dXO3e,"5,3",7,4,R_BYuJqEt9iVcCCu5,"5,2",4,51,R_4N4Eg3icUSkIWSR,"5,3",5.5,3
R_4N4Eg3icUSkIWSR,"5,3",5,13,R_27DK3RuDfm9U0Dy,"5,2",4,5,R_1kIDbUFz5oIZu9G,"5,3",5.666666667,51a
R_1kIDbUFz5oIZu9G,"5,3",7,4,R_2901bTgHbQpwKlP,"5,2",4,10,R_eKAKyzmE4dK8rol,"5,2",4.5,100a
R_eKAKyzmE4dK8rol,"5,2",5,100,R_2wz90xjetxLOIql,"5,2",4,4,R_1o0eCCYyyKyiK7G,"5,2",3.666666667,16b
R_1o0eCCYyyKyiK7G,"5,2",6,4,R_2ScPHA77ATfKrhh,"5,2",4,100a,R_2E3FnrVBZcXZrN6,"5,2",4.0,needs more info
R_2E3FnrVBZcXZrN6,"5,2",4,13,R_Qj1SMzCTdgcgtfX,"5,2",4,4,R_BYuJqEt9iVcCCu5,"5,2",4.0,needs more info
R_BYuJqEt9iVcCCu5,"5,2",4,13,R_bCooRKE9xSDLrRn,"5,2",4,3,R_27DK3RuDfm9U0Dy,"5,2",4.0,needs more info
R_27DK3RuDfm9U0Dy,"5,2",4,13,R_2ZOKnu3HANBDyYG,"5,2",4,10,R_2901bTgHbQpwKlP,"5,2",4.0,18
R_2901bTgHbQpwKlP,"5,2",4,100a,R_6GAGrS9HFBoc0JH,"5,2",4,100a,R_2wz90xjetxLOIql,"5,2",4.5,13a
R_2wz90xjetxLOIql,"5,2",5,4,R_1jkxKE0JSWiZmuu,"5,2",4,100a,R_2ScPHA77ATfKrhh,"5,2",5.0,100c
R_2ScPHA77ATfKrhh,"5,2",6,2,R_2ccKUfGFdpBsqgV,"5,2",4,51,R_Qj1SMzCTdgcgtfX,"5,2",4.0,100a
R_Qj1SMzCTdgcgtfX,"5,2",5,4,R_RWYq2Ed3m89rtBL,"5,2",4,needs more info,R_bCooRKE9xSDLrRn,"5,2",4.333333333,100c
R_bCooRKE9xSDLrRn,"5,2",4,4,R_DvqWs68t5U2ZmoN,"5,2",5,4,R_2ZOKnu3HANBDyYG,"5,2",5.333333333,13
R_2ZOKnu3HANBDyYG,"5,2",6,5,R_sAmfvX2tWZXJEt3,"5,2",5,4,R_6GAGrS9HFBoc0JH,"5,2",4.0,16b
R_6GAGrS9HFBoc0JH,"5,2",6,4,R_sj8bbe5Gb9gMCn7,"5,2",5,51,R_1jkxKE0JSWiZmuu,"5,2",5.5,51
R_6GAGrS9HFBoc0JH,"5,2",6,13,R_V53LksMgW6diZTb,"5,2",5,needs more info,R_2ccKUfGFdpBsqgV,"5,2",4.0,needs more info
R_1jkxKE0JSWiZmuu,"5,2",5,100a,R_2w0PXalk3oXv2ah,"5,2",5,100c,R_RWYq2Ed3m89rtBL,"5,2",4.0,needs more info
R_2ccKUfGFdpBsqgV,"5,2",4,needs more info,R_3L256qaKv5JJQ0o,"5,2",5,5,R_DvqWs68t5U2ZmoN,"5,2",3.5,13
R_RWYq2Ed3m89rtBL,"5,2",6,4,R_zegyxC43loc5KWR,"5,2",5,4,R_sAmfvX2tWZXJEt3,"5,2",3.833333333,16b
R_DvqWs68t5U2ZmoN,"5,2",7,13,R_2uwCzLTwL86Q5d1,"5,2",5,4,R_sj8bbe5Gb9gMCn7,"5,2",4.0,18
R_sAmfvX2tWZXJEt3,"5,2",5,13,R_1mdPgaYovp3Fm4J,"5,2",5,4,R_V53LksMgW6diZTb,"5,2",4.0,needs more info
R_sj8bbe5Gb9gMCn7,"5,2",7,13,R_r86woJyZ3ws1rRn,"5,2",5,5,R_2w0PXalk3oXv2ah,"5,2",4.0,13
R_V53LksMgW6diZTb,"5,2",4,5,R_12aO8mIVUmO92T2,"5,2",5,51,R_3L256qaKv5JJQ0o,"5,2",4.0,needs more info
R_2w0PXalk3oXv2ah,"5,2",5,4,R_3FWiAEGQ6lRqHIv,"5,2",5,4,R_zegyxC43loc5KWR,"5,2",4.666666667,16b
R_3L256qaKv5JJQ0o,"5,2",6,4,R_3niOGZKebd1h4sO,"5,2",5,100a,R_2uwCzLTwL86Q5d1,"5,2",4.666666667,18
R_zegyxC43loc5KWR,"5,2",6,4,R_10u52RVWg89at7j,"5,2",5,51,R_1mdPgaYovp3Fm4J,"5,2",5.166666667,13
R_2uwCzLTwL86Q5d1,"5,2",6,5,R_tJwaKVUd9kHXzYB,"5,2",5,100c,R_r86woJyZ3ws1rRn,"5,2",5.333333333,13
R_1mdPgaYovp3Fm4J,"5,2",5,4,R_3h6FKBZ65aRWMQ4,"5,2",5,4,R_12aO8mIVUmO92T2,"5,2",5.833333333,5
R_r86woJyZ3ws1rRn,"5,2",6,5,R_3CHjBtF5av71QxX,"5,2",5,100a,R_3FWiAEGQ6lRqHIv,"5,2",6.0,51
R_12aO8mIVUmO92T2,"5,2",5,5,R_tPxkrsBznFSUgud,"5,2",5,needs more info,R_3niOGZKebd1h4sO,"5,2",3.666666667,100a
R_3FWiAEGQ6lRqHIv,"5,2",6,4,R_3qff4qyTuUrbsBd,"5,2",5,5,R_10u52RVWg89at7j,"5,2",4.0,100a
R_3niOGZKebd1h4sO,"5,2",5,100,R_2v0uxZtfkHtjwHT,"5,2",5,4,R_tJwaKVUd9kHXzYB,"5,2",4.166666667,100a
R_10u52RVWg89at7j,"5,2",6,4,R_24M1WP7gM2MF21S,"5,2",5,100a,R_3h6FKBZ65aRWMQ4,"5,2",4.5,16b
R_tJwaKVUd9kHXzYB,"5,2",5,100,R_0fupqEQMfpp65pL,"5,2",5,needs more info,R_3CHjBtF5av71QxX,"5,2",5.0,16b
R_3h6FKBZ65aRWMQ4,"5,2",6,4,R_PHV3Bl9WhZ0xEgV,"5,2",5,4,R_tPxkrsBznFSUgud,"5,2",6.0,16b
R_3CHjBtF5av71QxX,"5,2",5,4,R_278VashuQ7VC4dK,"5,2",6,51,R_3qff4qyTuUrbsBd,"5,2",6.5,16b
R_tPxkrsBznFSUgud,"5,2",6,4,R_2YRj9suoKR2mzZW,"5,2",6,5,R_2v0uxZtfkHtjwHT,"5,2",5.0,5
R_3qff4qyTuUrbsBd,"5,2",7,5,R_2EuzL62j4KaCcF1,"5,2",6,4,R_24M1WP7gM2MF21S,"5,2",5.666666667,5
R_2v0uxZtfkHtjwHT,"5,2",6,4,R_9GYXEdwvIg7175n,"5,2",6,5,R_0fupqEQMfpp65pL,"5,2",5.666666667,51
R_2v0uxZtfkHtjwHT,"5,2",6,13,R_rcdIpNdA0YkXmRX,"5,2",6,100c,R_PHV3Bl9WhZ0xEgV,"5,2",4.0,needs more info
R_24M1WP7gM2MF21S,"5,2",6,4,R_3hayIY14dQHLnBe,"5,2",6,13,R_278VashuQ7VC4dK,"5,2",3.166666667,16b
R_0fupqEQMfpp65pL,"5,2",6,5,R_2uWeG1Vwjz3svf5,"5,2",6,4,R_2YRj9suoKR2mzZW,"5,2",3.833333333,4
R_PHV3Bl9WhZ0xEgV,"5,2",5,4,R_20VF6pwA03yRy8y,"5,2",6,4,R_2YRj9suoKR2mzZW,"5,2",3.833333333,13
R_278VashuQ7VC4dK,"5,2",7,4,R_2tkS4Jk31RkE2KA,"5,2",6,4,R_2EuzL62j4KaCcF1,"5,2",4.166666667,18
R_2YRj9suoKR2mzZW,"5,2",1,4,R_3JF1ovLO9X53o8x,"5,2",6,4,R_9GYXEdwvIg7175n,"5,2",4.333333333,13
R_2EuzL62j4KaCcF1,"5,2",7,4,R_4GRPIYhHXu0IeFb,"5,2",6,4,R_9GYXEdwvIg7175n,"5,2",4.333333333,18
