fairness ID,20 types fairness,fairness,fairness code,fairness OR,trust ID,20 types trust,trust,trust code,trust OR,emotion ID,20 types emotion,emotion,emotion code,emotion OR
R_9t7W4ZJxkddSPPH,"2,1",5,1,It's fair because it's unbiased and objective.,R_2P0CGG6jrPpXrVH,"1,3",4,needs more info,"The algorithm is only as good as it's designer, and that designer is a human. I can't have full trust in it without more information.",R_12o4WPgciSIsWDY,"1,3",5,100a,There is nothing particular about this process that he should feel especially happy or sad
R_DJjP2LaAkGD3jJ7,"2,2",4,1,The algorithm doesn't discriminate against employees in decisions,R_12o4WPgciSIsWDY,"1,3",4,7,"I do not know what the criteria are, but as it is a machine it should process those calculations fairly accurately. However, I have experienced errors with computerized processes in the past.",R_9t7W4ZJxkddSPPH,"2,1",3.5,100c,I am just guessing.
R_29dgGTb6NL6l6yS,"3,2",6,1,The algorithm doesn't make it's decisions based off feelings but objective data.,R_12o4WPgciSIsWDY,"1,3",4,9,"I do not know what the criteria are, but as it is a machine it should process those calculations fairly accurately. However, I have experienced errors with computerized processes in the past.",R_DJjP2LaAkGD3jJ7,"2,2",4,16,Chris's feelings would rely more on Chris's preferred schedule than the algorithm
R_3pcieNp05hCFQHM,"4,3",6,1,I think it's fair because the algorithm doesn't discriminate and will select the top applicants.,R_9t7W4ZJxkddSPPH,"2,1",4,1,It sounds like an objective formula so it should be trustworthy but who knows how it works,R_29dgGTb6NL6l6yS,"3,2",3.666666667,16,It's really hard to say it depends on weather or not Chris likes his job.
R_1InpczyR2kE7MHj,"1,3",5,1,"I think the algorithm will not have the same amount of bias as a human reviewer, but it will likely have a degree of bias from the programmer.",R_DJjP2LaAkGD3jJ7,"2,2",4,6,"The manager is looking out for the business, most likely, which is a good scheduling decision",R_3pcieNp05hCFQHM,"4,3",4.5,51,I think as an Engineer Chris will understand that they want the best person for the job.
R_3plu1JMzXLjTsAK,"1,3",7,1,The company has the right to use any method for its hiring process as long as it is objective and fair.,R_29dgGTb6NL6l6yS,"3,2",4,9,I think a computers judgement of a situation is too literal to be useful enough to make decisions.,R_1InpczyR2kE7MHj,"1,3",2.666666667,9,"I think Chris will distrust the algorithm and feel it's too impersonal, that he's up against a system that has no way of creating exceptions to the rule."
R_2ckMhqaVIoSbuI2,"3,2",5,1,Algorithms are not biased,R_3pcieNp05hCFQHM,"4,3",4,4,I think I would put some trust in it but it depends on who created it and the rules it follows.,R_3plu1JMzXLjTsAK,"1,3",3.666666667,9,"I think Chris might feel limited to just an application, and may question how the algorithm assess the personal statement."
R_2ymk3M9tAYwWuEN,"1,3",4,1,"It depends on the algorithm, if it is sophisticated enough, I could see it removing cultural biases from the decision process OR maybe it has biases of it's own.  I don't have enough information.",R_1InpczyR2kE7MHj,"1,3",4,18,I believe the algorithm will find the candidates who meet the job specs in theory...though it might not be best for the department in actuality,R_2ckMhqaVIoSbuI2,"3,2",3.833333333,needs more info,It depends on whether Chris likes to work mornings or not
R_2CUsW5ANEOO32Id,"2,1",6,1,It makes it so everyone has an equal chance,R_3plu1JMzXLjTsAK,"1,3",4,3,"I think the algorithm could save manpower in narrowing down the pool of applicants based on objective data, though I think humans are still required to assess personal statements.",R_2ymk3M9tAYwWuEN,"1,3",4,needs more info,"I reread the scenario, I don't see that Chris made the cut or not.  I can't say how he feels."
R_OMSkciY3t3nH2QV,"4,2",5,1,An algorithm does not play favorites,R_3plu1JMzXLjTsAK,"1,3",4,8,"I think the algorithm could save manpower in narrowing down the pool of applicants based on objective data, though I think humans are still required to assess personal statements.",R_2CUsW5ANEOO32Id,"2,1",4,needs more info,Depends if he wanted to or not
R_01wl0IVInDhazBL,"2,1",6,1,It seems unbiased.,R_2ckMhqaVIoSbuI2,"3,2",4,needs more info,It depends on the input the manager gives it,R_OMSkciY3t3nH2QV,"4,2",3.666666667,100a,I don't think Chris would have feelings about the situation unless it caused him problems
R_24f4YdURFQq1LK3,"2,1",4,1,"Nothing in the text seems to suggest that Chris has a leg up over another mechanic. Additionally, the algorithm probably found Chris to be the most suitable. Therefore, there is no issue of fairness.",R_2ymk3M9tAYwWuEN,"1,3",4,needs more info,"Again, it depends on the algorithm.  I don't have enough information from what is stated.",R_01wl0IVInDhazBL,"2,1",4,100a,I think Chris would feel mostly neutral.
R_3fQ7HK8ktq2yMIh,"3,1",7,1,"The algorithm points to the most need, and then the workers attend to that need. Seems unbiased.",R_2CUsW5ANEOO32Id,"2,1",4,needs more info,Don't know him so can't really tell,R_24f4YdURFQq1LK3,"2,1",4,100a,"Chris' duty is to perform the job, so I think he would feel neutral about performing the job."
R_0Dqwh8NcLs6uOVb,"3,3",5,1,The algorithm itself is fair and unbiased and the manager monitor selects top candidates in a fair way.,R_OMSkciY3t3nH2QV,"4,2",5,3,An algorithm could be trusted to be efficient.,R_3fQ7HK8ktq2yMIh,"3,1",4,100a,"I don't think Chris would have an emotional reaction to the assignments. I think he would feel neutral, unmoved."
R_3I0rGHnp1cOB3A9,"3,3",6,1,the algorithm selects the top applicants so there is probably less bias than if it was completely human choice,R_01wl0IVInDhazBL,"2,1",5,6,I think he will stay mostly unbiased.,R_0Dqwh8NcLs6uOVb,"3,3",4,100a,I think Chris' feelings are indifferent on the matter and he is just accepting the system as it is.
R_3s052l3Nvnn9d3b,"2,2",5,1,"The algorithm is unbiased, but can't accommodate for individual preferences",R_24f4YdURFQq1LK3,"2,1",5,6,The algorithmic analysis is probably very trustworthy and accurate. The manager might rely on the analysis a lot in order to make good decisions most of the time.,R_3I0rGHnp1cOB3A9,"3,3",4,100a,I feel neutral about it because it is mostly up to the algorithm even though the manager can adjust it
R_Pwh1xGAX18T45Sp,"3,2",6,1,"Computers are just machines following rules that they are told to. It's unbiased, and it's a good way to make the decisions.",R_3fQ7HK8ktq2yMIh,"3,1",5,6,"I'd want to see it in action, know if there were any instances where it had failed to work well, but it seems straightforward.",R_3s052l3Nvnn9d3b,"2,2",4.5,100a,Chris is a human he will exhibit a wide range of emotions in response to any given situation
R_3EGdl4gLfnrJXwk,"1,4",6,1,The algorithm evaluates fairly because it is only looking at Chris' measureable performances and is not basing anything on emotions.,R_3fQ7HK8ktq2yMIh,"3,1",5,9,"I'd want to see it in action, know if there were any instances where it had failed to work well, but it seems straightforward.",R_Pwh1xGAX18T45Sp,"3,2",4.5,100a,"I don't think he would be too happy, but I don't think that he would be really angry about it, either."
R_3shJvNgQ5clMSzH,"2,4",6,1,The algorithm would be a fair and objective way to gauge performance without any individual's personal bias.,R_0Dqwh8NcLs6uOVb,"3,3",5,6,The algorithm itself is a good way to find top candidates and adding on the manager to help refine even better.,R_3EGdl4gLfnrJXwk,"1,4",4.666666667,100a,"I don't think Chris would have a problem with this evaluation method, unless his performance is lacking."
R_2ZVMJywtWAfeNen,"1,4",6,1,The algorithm is not biased so it's fair.,R_3I0rGHnp1cOB3A9,"3,3",5,1,the algorithm is less biased than a human,R_3shJvNgQ5clMSzH,"2,4",4.666666667,100a,I don't believe Chris would feel any of the emotions listed above strongly.
R_2pQchEDsswpQ8sR,"1,4",6,1,An algorithm cannot be biased on the basis of race or other personal characteristics,R_3s052l3Nvnn9d3b,"2,2",5,10,He/she is a human and is fallible,R_2ZVMJywtWAfeNen,"1,4",4.833333333,100a,He probably wouldn't really care
R_a3l7OwunV6Naaqt,"1,2",6,1,The algorithm is  not biased,R_Pwh1xGAX18T45Sp,"3,2",5,7,"The algorithm is probably pretty good, but with most computer programs it more than likely has room for improvement.",R_2pQchEDsswpQ8sR,"1,4",5,100a,"I think he would not be too emotional about it, just think it's a fair way to evaluate"
R_vens44wSZPY2EBH,"2,1",5,1,It is not biased.,R_3EGdl4gLfnrJXwk,"1,4",5,7,"I think the algorithim can only judge on the things it can measure and not other factors like attendance, attitude, etc.",R_a3l7OwunV6Naaqt,"1,2",5,100a,He probably doesnt care
R_2veNIzVzScNcFpz,"3,2",4,1,"i think computers tend to make unbiased, objective choices, its not a matter of fairness",R_3EGdl4gLfnrJXwk,"1,4",5,9,"I think the algorithim can only judge on the things it can measure and not other factors like attendance, attitude, etc.",R_vens44wSZPY2EBH,"2,1",5.833333333,100a,I feel like this is how those feelings would be.
R_26mqFmOIY1emkaE,"2,3",6,1,"He didn't target chris personally, as long as the algorithm targets characteristics that are legal then there is no problem.",R_3shJvNgQ5clMSzH,"2,4",5,6,I would trust that the manager uses the data to look as objectively as possible at Chris's interactions.,R_2veNIzVzScNcFpz,"3,2",4,100a,"unless his views were unheard, which i do not know in this situation, i can only feel that chris was pretty neutral in this situation"
R_31oa23qJI2g5Lpi,"4,4",5,1,"The algorithm is unbiased, therfore unbiased = fair",R_2ZVMJywtWAfeNen,"1,4",5,1,It is unbiased but it may be inaccurate at times.,R_2veNIzVzScNcFpz,"3,2",4,9,"unless his views were unheard, which i do not know in this situation, i can only feel that chris was pretty neutral in this situation"
R_24GB6FSggsYa7G7,"4,3",6,1,There is no biased in the system,R_2ZVMJywtWAfeNen,"1,4",5,9,It is unbiased but it may be inaccurate at times.,R_26mqFmOIY1emkaE,"2,3",3,100c,He didn't get a interview and that happens. It'll make him sad and then he'll keep trying. If he got a interview and then had a computer decide I think he'd feel helpless.
R_31pgsa2Di6SU2tM,"1,4",6,1,the algorithm is objective and analyzes his performance without bias,R_2pQchEDsswpQ8sR,"1,4",5,100c,Algorithms affect prefect but they are less preferential,R_31oa23qJI2g5Lpi,"4,4",4.5,100c,The question is a little too subjective. I answered by placing myself in Chris' position.
R_1HqpFb4QRTSruSK,"2,1",7,1,"Assuming the manager is competent and unbiased towards Chris, the algorithm provides an objective way to assign the work.",R_a3l7OwunV6Naaqt,"1,2",5,7,i think it does a good job,R_24GB6FSggsYa7G7,"4,3",5.166666667,100c,Just my feelings
R_Wj7s9H6DIvsAR57,"3,2",6,1,"The algorithm used objective facts without taking into account any ""personal"" feelings",R_vens44wSZPY2EBH,"2,1",5,100a,I think he makes good decisions.,R_31pgsa2Di6SU2tM,"1,4",3,8,Chris would probably rather have an actual person evaluate his performance
R_2Srf7mH1hltMHkp,"3,4",5,1,"It is somewhat fair because the algorithm is an impartial evaluator, but not completely fair because it may not be sensitive enough to be effective enough.",R_2veNIzVzScNcFpz,"3,2",5,1,i tend to think computers make objective choices. the wuality is likely higher then completely human based-decisions because humans tend to make choices guided by emotions.,R_1HqpFb4QRTSruSK,"2,1",5,13,"Making the same assumptions as before, Chris would know the work was needed to be done and not as a reward or punishement."
R_2R4bvlzwcFLZ8F7,"1,2",6,1,"If an algorithm is used, there is no bias towards particular employees.",R_2veNIzVzScNcFpz,"3,2",5,10,i tend to think computers make objective choices. the wuality is likely higher then completely human based-decisions because humans tend to make choices guided by emotions.,R_Wj7s9H6DIvsAR57,"3,2",4.666666667,13a,"If Chris knows that he was scheduled by an algorithm, then he should not have any ""hard feelings"" towards the manager or the situation"
R_248vKbXzTtpwAr7,"2,3",6,1,The algorithm isn't biased. It's analyzing what's there.,R_26mqFmOIY1emkaE,"2,3",5,100a,I don't have a problem with it,R_2Srf7mH1hltMHkp,"3,4",3.5,16,Chris is probably results oriented and his feelings would depend on how well he was evaluated.
R_24uwgr2H1TJlBa5,"1,3",5,1,Algorithms eliminates the human ability to choose between options.,R_31oa23qJI2g5Lpi,"4,4",5,1,"Again, the algoritm is unbiased and personal feelings do not come into play. Also the added evaluation form the manager is involved as well to create a cohesive whole that is trustworthy",R_2R4bvlzwcFLZ8F7,"1,2",4.666666667,16,"I don't know whether Chris is a morning guy, but it beats closing shift."
R_2AXRM1B3U9laIBE,"3,2",6,1,I think it's unbiased,R_31oa23qJI2g5Lpi,"4,4",5,6,"Again, the algoritm is unbiased and personal feelings do not come into play. Also the added evaluation form the manager is involved as well to create a cohesive whole that is trustworthy",R_248vKbXzTtpwAr7,"2,3",4,2,"An algorithm isn't personal. There's no point to being angry, happy, or frustrated at it. He has the same chance as everyone else."
R_1jJ1mmRSpjZABt4,"1,1",4,1,"The algorithm is impartial to Chris, it simply assigns the work based on the importance.",R_24GB6FSggsYa7G7,"4,3",5,100a,Sounds like a valid system,R_24uwgr2H1TJlBa5,"1,3",5,2,The applicants are all chosen with fairness.
R_1pDORcjdazQg49R,"4,2",6,1,"There isn't any sort of bias in the assignment, it's simply based off numbers and observations.",R_31pgsa2Di6SU2tM,"1,4",5,6,the parameters for judging performance were set by a real person and the algorithm applies this equally to all employees,R_2AXRM1B3U9laIBE,"3,2",4,5,"It's just a schedule.  Since she's given her availability, I don't think these emotions come into play"
R_3MlMRikyPdmXAQ3,"3,4",6,1,Algorithms are impartial.,R_1HqpFb4QRTSruSK,"2,1",5,4,I have no knowldge of the manager so I can only give him or her a moderate amount of trust.,R_1jJ1mmRSpjZABt4,"1,1",4,51,I don't believe that the algorithm should adversely affect Chris's feelings in a favorable or unfavorable way.
R_3Gj1MNKiCytRIh0,"2,4",5,1,"Because he is using an algorithim, the managers judgement is unclouded by his personal feelings.",R_1HqpFb4QRTSruSK,"2,1",5,needs more info,I have no knowldge of the manager so I can only give him or her a moderate amount of trust.,R_1pDORcjdazQg49R,"4,2",4,51,It's a fair shift and I don't see any reason to feel much of anything about it.
R_A67dOCTg4L4Bs2J,"2,1",6,1,The algorithm is objective and as fair as fair can get.,R_Wj7s9H6DIvsAR57,"3,2",5,6,"The algorithm has been proven to make good decisions, but there is always the ability of the manager to make the necessary changes in the event that they are requested and/or needed.",R_3MlMRikyPdmXAQ3,"3,4",4.166666667,51,He should be ok with that.
R_1K88X60xTmgNIFZ,"2,2",6,1,It takes the emotion/grudges/favoritism out of it.,R_2Srf7mH1hltMHkp,"3,4",5,needs more info,It would be hard to completely trust the algorithm if I wasn't familiar what it consisted of and emphasized.,R_3Gj1MNKiCytRIh0,"2,4",5.166666667,51,He should understand that it was fair and unbiased.
R_PHbwnOPphUalcXv,"1,3",6,1,If the algorithm is programmed in a fair manner then the results should be fair.,R_2R4bvlzwcFLZ8F7,"1,2",5,needs more info,Without knowing the algorithm it's hard to tell,R_A67dOCTg4L4Bs2J,"2,1",5.333333333,51,"He was chosen based on statistics... nothing else, so he shouldn't feel bad about doing it"
R_1eFgOR3iKKsdlt7,"1,3",5,1,I think that the algorithm will be fair and objective,R_248vKbXzTtpwAr7,"2,3",5,7,"It's difficult to imagine such an impersonal process as being foolproof, but I have moderate trust the algorithm is adequately coded to pick out potentially good employees.",R_1K88X60xTmgNIFZ,"2,2",5.333333333,51,S/He should be satisfied and nothing more.
R_1lrxUINl4CRDT4M,"3,2",6,1,The algorithm does not have any bias towards any employee; it simply looks at numbers and determines the schedule.,R_24uwgr2H1TJlBa5,"1,3",5,100c,The trust is moderate between all applicants.,R_PHbwnOPphUalcXv,"1,3",6,51,Chris should feel the same in regards to the fairness whether he is picked or not.
R_1mJJtqe49t3BDW8,"3,3",5,1,The algorithm removes biases.,R_2AXRM1B3U9laIBE,"3,2",5,5,The algorithm takes employees availability into effect although not their preferences.,R_1eFgOR3iKKsdlt7,"1,3",6,51,"i think no matter what the selection process, he can trust that it will be fair whether he gets it or not"
R_2QthzG7K4mHvg0E,"3,4",6,1,I believe it's fair because a computer is a non-biased reviewer.,R_1jJ1mmRSpjZABt4,"1,1",5,9,I don't have enough information to be able to place a substantial amount of trust in the algorithm. There may be factors which the software does not account for in prioritizing work.,R_1lrxUINl4CRDT4M,"3,2",2.833333333,51,Even though the process is fair; it does not give Chris much agency in his schedule.
R_Rhrmmdo9u59cmGZ,"3,4",6,1,"An algorithm is unbiased whereas the manager may not like chris, the algorithm will judge him fairly and without bias.",R_1pDORcjdazQg49R,"4,2",5,6,"It's just a machine looking at numbers, so it can make mistakes, but having a person involved as well helps balance both sides.",R_1lrxUINl4CRDT4M,"3,2",2.833333333,12,Even though the process is fair; it does not give Chris much agency in his schedule.
R_1I9L1JzvrI3BCbZ,"2,2",6,1,the algorithm presumably has less bias than the manager.  the calculations are independent from anyone's feelings about chris personally.,R_3MlMRikyPdmXAQ3,"3,4",5,needs more info,I don't know how good the algorithm is.,R_1mJJtqe49t3BDW8,"3,3",3.833333333,51,"I think he would be happy, but slightly frustrated because it removes the human element from the process."
R_25Eqce31aMTAUgm,"2,1",6,1,There isn't a person with an opinion assigning it so there is no way it's biased,R_3Gj1MNKiCytRIh0,"2,4",5,7,"Because he has an algorithm he is using, it doesn't matter if he likes him or not.",R_1mJJtqe49t3BDW8,"3,3",3.833333333,12,"I think he would be happy, but slightly frustrated because it removes the human element from the process."
R_29jeKzxal9yyt0n,"1,2",6,1,There was no discrimination or anything that excludes one person over another,R_A67dOCTg4L4Bs2J,"2,1",5,6,I believe that he would read the algorithm's results and assign people accordingly,R_2QthzG7K4mHvg0E,"3,4",4.833333333,51,"I can see Chris feeling proud about how he's doing his job. Otherwise, I can't really see him experiences other emotions very much."
R_1r6Lo2oD8UpfJ5E,"2,3",6,1,"This process does take some potential bias out of the selection process initially, disallowing any candidates to get through who might know the manager well, but are not qualified.",R_1K88X60xTmgNIFZ,"2,2",5,11,"based on means they can still do whatever they want, and then they'll mess things up.",R_2QthzG7K4mHvg0E,"3,4",4.833333333,13,"I can see Chris feeling proud about how he's doing his job. Otherwise, I can't really see him experiences other emotions very much."
R_1inzpefVQlL2Byi,"5,3",7,1,"From what I could tell, there was no bias. He reviewed all of the applications and chose the top applicants based on what they submitted.",R_1K88X60xTmgNIFZ,"2,2",5,10,"based on means they can still do whatever they want, and then they'll mess things up.",R_Rhrmmdo9u59cmGZ,"3,4",4.5,51,I think he would like the fact that he is fairly judged but also a little anooyed at how impersonal it is.
R_1HicrGv7oS8HgBW,"3,4",6,1,An algorithim can be impartial.,R_PHbwnOPphUalcXv,"1,3",5,1,I trust the algorithm to be impartial.,R_Rhrmmdo9u59cmGZ,"3,4",4.5,9a,I think he would like the fact that he is fairly judged but also a little anooyed at how impersonal it is.
R_2aE3iPBS8XpvvOk,"4,4",6,1,Machines do not take sides.,R_1eFgOR3iKKsdlt7,"1,3",5,1,computers will always be fair,R_1I9L1JzvrI3BCbZ,"2,2",3.333333333,52,chris may not want to work mornings.  he think his feelings are not considered or his opinion is not consulted.
R_3fjUHlOpoggYFgz,"2,4",6,1,Algorithms ensure that the evaluation is objective,R_1lrxUINl4CRDT4M,"3,2",5,6,"Barring any unforseen circumstances, the process will decided what is needed an when.",R_25Eqce31aMTAUgm,"2,1",3.5,52,He might be frustrated he has to do the work because a computer said so.
R_10CpVihORH7nzdT,"1,3",6,1,The algorithim should do a good job of picking qualified applications without any emotional clouding getting in the way.,R_1mJJtqe49t3BDW8,"3,3",5,7,Hopefully it's programmed well.,R_29jeKzxal9yyt0n,"1,2",4,52,He knows that's how schedules are set so don't think he would be phased
R_QamTgELpOvN2vMl,"4,2",7,1,There was no bias,R_2QthzG7K4mHvg0E,"3,4",5,7,"Computers are accurate, but it's sometimes difficult for a computer to gauge peoples' tones.",R_1r6Lo2oD8UpfJ5E,"2,3",5.666666667,52,I think Chirs would be happy that he had passed the standards of both the algorithm and the manager.
R_SV8an8rmKin6FSp,"1,2",6,1,"It's an algorithm, it doesn't make biased judgments so it's fair that it scheduled him that way.",R_2QthzG7K4mHvg0E,"3,4",5,9,"Computers are accurate, but it's sometimes difficult for a computer to gauge peoples' tones.",R_1inzpefVQlL2Byi,"5,3",2.833333333,52,He'd feel mostly disappointed and frustrated because his application wasn't good enough.
R_1KloAJVCuxApwBP,"1,4",6,1,I think its fair because the algorithm will give a non biased evaluation of chris.,R_Rhrmmdo9u59cmGZ,"3,4",5,9,I'm sure it would work with standard calls but I'm not sure how it would work with difficult ones.,R_1HicrGv7oS8HgBW,"3,4",3.5,9,I think that he would fear being judged by an algorithm versus his manager.
R_1hLIYHd2pw3CJqf,"2,2",5,1,"The algorithm doesn't play favorites, and if the managed reviewed the results and came to this decision then he must have taken that advice into account.",R_1I9L1JzvrI3BCbZ,"2,2",5,3,the computer makes calculations the manager can not make.  the decisions are more efficient.,R_2aE3iPBS8XpvvOk,"4,4",4.166666667,needs more info,"Since I know nothing about Chris other than their name ,and I do not know what the is the feedback was positive or not I based my answer on how I would feel."
R_3Do4GMuQQZDPNbt,"4,2",6,1,It is fair because there is no bias for his work schedule.,R_1I9L1JzvrI3BCbZ,"2,2",5,6,the computer makes calculations the manager can not make.  the decisions are more efficient.,R_3fjUHlOpoggYFgz,"2,4",4.666666667,1,I feel he would not be disappointed that the manager is using a new and more objective system for evaluations
R_1pAUZP8mgjs4r4U,"1,1",7,1,"Why wouldn't it be fair? The algorithm is impartial, and it's programmed to assign Chris to the task that most likely needs to be done.",R_25Eqce31aMTAUgm,"2,1",5,5,He makes it based on previous data.,R_10CpVihORH7nzdT,"1,3",5.5,1,He should be happy that they are using an algorithim instead of a human who could be easily influenced or have a buddy that he wants to have the job.
R_RqKHf9xhCEXOcFj,"1,1",6,1,The machine does not intentionally make a choice to make your life any harder than anyone else. It is just a tool that tells you where you need to be at work at a particular time.,R_29jeKzxal9yyt0n,"1,2",5,needs more info,It depends on the situation and the job requirements with the skill needed,R_QamTgELpOvN2vMl,"4,2",5.833333333,1,I tink he would be happy there was no bias
R_PtegQYUtltuYEDv,"1,1",6,1,I suppose if the algorithm is properly calibrated than it is offering an unbiased assignment,R_1r6Lo2oD8UpfJ5E,"2,3",5,4,"I think the manager is probably someone with good judgment, especially if he was chosen to work for the company by a similar algorithm",R_SV8an8rmKin6FSp,"1,2",3.5,100a,"It's unclear if Chris wants to work mornings or not, so I don't think he'd really feel any of these things strongly."
R_sSAiDS5vtvnHosN,"3,1",6,1,I think the algorithm is not biased and therefore fair to Chris.,R_1inzpefVQlL2Byi,"5,3",5,10,I'd give them a moderate trust since there's a possibility of them favoring certain applicants.,R_1KloAJVCuxApwBP,"1,4",4,100a,"I think chris's feelings are based on his own performance, the algorithm simply analyzes the data."
R_1rjZbGHblyKWz56,"1,3",5,1,I think the algorithim will aim for finding the best applicants without any human bias interferring.,R_1HicrGv7oS8HgBW,"3,4",5,6,Managers can probably take more things into consideration but they are also not as accurate.,R_1hLIYHd2pw3CJqf,"2,2",4.833333333,100a,I don't imagine Chris would feel strongly one way or the other since it was the result of the algorithm.
R_3JfkX6FFQZBZune,"2,2",7,1,There will be less bias involved in scheduling.,R_1HicrGv7oS8HgBW,"3,4",5,10,Managers can probably take more things into consideration but they are also not as accurate.,R_3Do4GMuQQZDPNbt,"4,2",5,100a,He might be neutral about his work schedule. He might be a morning person.
R_DC5fTu42hiu4OMF,"3,2",6,1,"The algorithm, for the most part, is fair un impartial towards the employees. It makes decisions based on numbers instead of feelings, and if there's any issues the manager can step in and adjust it.",R_2aE3iPBS8XpvvOk,"4,4",5,7,A lot of work and science went into developing the algorithm. That is worth a bit of trust.,R_1pAUZP8mgjs4r4U,"1,1",4.5,13,I don't think he'd feel much of anything; he'd take his assignment and do the job.
R_2s0UDaDT3orjmXr,"1,2",6,1,"There is no human involvement, therefore there is no room for bias.",R_3fjUHlOpoggYFgz,"2,4",6,7,"Although it lacks a human element, and is prone to certain errors, algorithms are generally trustworthy",R_RqKHf9xhCEXOcFj,"1,1",4.5,13,I would be indifferent. It would just be a machine telling me where to work. It harbors no resentment to me or bias. It just tells him what to do and its another regular work day. Theres no reason you should be angry your being made to do your job.
